,straddle_open,straddle_high,straddle_low,straddle_close,straddle_entryPrice,straddle_stoploss,straddle_tgt,stradle_SLhit,stradle_Tgthit,straddle_hit_status,straddle_exitPrice,straddle_MTM,straddle_highMTM,straddle_maxMTM,straddle_lowMTM,straddle_minMTM,straddle_PnL
2022-03-10 09:15:00,406.55,517.4,457.4,450.6,,,,0,0,,,,,,,,
2022-03-10 09:16:00,454.1,454.1,443.34999999999997,458.5,,,,0,0,,,,,,,,
2022-03-10 09:17:00,454.55,446.79999999999995,426.3,424.6,,,,0,0,,,,,,,,
2022-03-10 09:18:00,419.15,417.79999999999995,413.1,413.1,,,,0,0,,,,,,,,
2022-03-10 09:19:00,416.65,418.0,416.29999999999995,416.70000000000005,,,,0,0,,,,,,,,
2022-03-10 09:20:00,416.0,412.7,411.54999999999995,410.9,,,,0,0,,,,,,,,
2022-03-10 09:21:00,411.45,409.7,406.6,414.54999999999995,410.9,493.0799999999999,82.17999999999998,0,0,,,-3.6499999999999773,4.2999999999999545,4.2999999999999545,1.1999999999999886,1.1999999999999886,
2022-03-10 09:22:00,415.05,418.85,413.3,421.95,410.9,493.0799999999999,82.17999999999998,0,0,,,-11.050000000000011,-2.400000000000034,4.2999999999999545,-7.9500000000000455,-7.9500000000000455,
2022-03-10 09:23:00,420.6,421.05,417.1,413.9,410.9,493.0799999999999,82.17999999999998,0,0,,,-3.0,-6.2000000000000455,4.2999999999999545,-10.150000000000034,-10.150000000000034,
2022-03-10 09:24:00,415.8,414.35,413.6,415.65,410.9,493.0799999999999,82.17999999999998,0,0,,,-4.75,-2.7000000000000455,4.2999999999999545,-3.4500000000000455,-10.150000000000034,
2022-03-10 09:25:00,415.8,431.55,415.8,430.5,410.9,493.0799999999999,82.17999999999998,0,0,,,-19.600000000000023,-4.900000000000034,4.2999999999999545,-20.650000000000034,-20.650000000000034,
2022-03-10 09:26:00,428.25,436.5,426.45,437.54999999999995,410.9,493.0799999999999,82.17999999999998,0,0,,,-26.649999999999977,-15.550000000000011,4.2999999999999545,-25.600000000000023,-25.600000000000023,
2022-03-10 09:27:00,436.55,433.0,427.5,432.1,410.9,493.0799999999999,82.17999999999998,0,0,,,-21.200000000000045,-16.600000000000023,4.2999999999999545,-22.100000000000023,-25.600000000000023,
2022-03-10 09:28:00,422.65,432.04999999999995,422.65,426.8,410.9,493.0799999999999,82.17999999999998,0,0,,,-15.900000000000034,-11.75,4.2999999999999545,-21.149999999999977,-25.600000000000023,
2022-03-10 09:29:00,429.09999999999997,435.85,424.95000000000005,435.15,410.9,493.0799999999999,82.17999999999998,0,0,,,-24.25,-14.050000000000068,4.2999999999999545,-24.950000000000045,-25.600000000000023,
2022-03-10 09:30:00,433.45,438.85,416.5,420.3,410.9,493.0799999999999,82.17999999999998,0,0,,,-9.400000000000034,-5.600000000000023,4.2999999999999545,-27.950000000000045,-27.950000000000045,
2022-03-10 09:31:00,422.54999999999995,422.25,396.70000000000005,400.5,410.9,493.0799999999999,82.17999999999998,0,0,,,10.399999999999977,14.199999999999932,14.199999999999932,-11.350000000000023,-27.950000000000045,
2022-03-10 09:32:00,402.0,413.25,396.4,405.3,410.9,493.0799999999999,82.17999999999998,0,0,,,5.599999999999966,14.5,14.5,-2.3500000000000227,-27.950000000000045,
