Date,Nifty,ADANIENT,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BOSCHLTD,BPCL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFC,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,IBULHSGFIN,ICICIBANK,INDUSINDBK,INFY,IOC,ITC,JSWSTEEL,KOTAKBANK,LT,LUPIN,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHREECEM,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,UPL,VEDL,WIPRO,YESBANK,ZEEL
01-01-2018,,89.17182159,387.6716919,234.5602875,1182.671631,1098.033081,658.9620972,563.9401245,2725.344238,515.9938354,1699.45459,470.9174805,18610.94922,357.3192749,2101.571045,597.255249,160.8153229,1058.684692,2275.475342,2674.030762,97.51585388,1113.421021,385.5910339,1543.573975,889.052124,384.4265747,3078.664063,262.3057861,287.1944885,1230.067749,1013.177429,301.3231506,1564.993408,443.4247742,87.44396973,213.3171539,227.6852417,997.8049316,1150.700195,856.4038696,710.0402832,9150.263672,7191.831543,108.8634262,139.9210358,112.5178375,881.9182739,690.258728,293.9035339,17525.83789,546.8529663,296.9266357,424.4500122,27.03736115,1175.501465,431.9801331,826.8929443,4175.96582,475.3044739,137.7732391,231.6130524,301.8462219,555.3571167
02-01-2018,10442.2002,88.01722717,385.4891663,234.6477966,1172.246704,1097.168701,646.8706665,557.9567261,2729.900879,508.9351807,1698.469604,460.7926331,18544.98242,351.1368103,2065.113037,593.6414795,162.8658752,1041.201172,2280.254883,2564.629395,96.67494965,1109.138672,391.7783203,1561.450439,897.6094971,390.1981201,3074.352295,263.0313416,282.0925903,1224.669922,984.3995361,300.7405396,1584.364868,441.7730103,86.6479187,212.0566254,226.6144714,1001.047974,1140.705444,848.5499878,717.9069214,9057.499023,7192.149414,110.3124695,143.1944733,112.826973,883.2753296,676.0489502,290.2189941,17595.53125,545.0429688,295.2659607,439.2999878,27.30316925,1169.103394,441.2963257,819.8117065,4172.285645,486.4363403,138.7469177,233.1861725,300.928894,554.3503418
03-01-2018,10443.2002,94.62255096,395.4319153,238.5417938,1157.052246,1096.352417,641.234375,558.9041138,2685.407227,508.7705994,1689.261719,462.2645264,18517.90234,347.6942749,2076.156982,592.6647339,163.9514313,1059.021606,2213.812256,2577.529053,95.84381104,1097.118164,393.7529602,1559.204224,888.1653442,380.4801941,3083.673096,267.4812927,285.2509155,1235.4198,986.1461182,305.887207,1571.161377,438.1691589,86.62548065,212.3819122,230.1693573,997.9545898,1164.026123,852.2344971,719.8139038,8927.193359,7188.995605,109.1717453,140.7212067,113.3327789,886.8136597,681.3775635,289.8361816,17692.50195,542.0897827,295.313446,433.8999939,27.5146904,1172.41333,446.0188599,830.6274414,4221.002441,487.9142761,140.7577515,226.7839661,304.984436,555.8843994
04-01-2018,10504.7998,98.4353714,397.565979,239.2856445,1140.923218,1125.300049,643.8838501,558.3556519,2704.795654,505.0890808,1727.374146,466.5464172,18480.00586,345.3055725,2051.961914,602.3829346,167.5398254,1065.90918,2281.769775,2555.737793,97.13452148,1139.067993,391.9099121,1561.404541,891.6409912,393.6512146,3070.288086,270.6736755,290.7345276,1237.158203,984.7320557,305.5958862,1586.918823,435.6379089,86.84973145,212.7072296,237.4076538,998.2540283,1200.901245,851.4589233,720.862793,8898.419922,7197.36377,109.2025757,145.1221466,112.6021576,892.1453857,692.3309326,295.2433777,17574.02344,553.6642456,296.3098145,429.9500122,28.46185684,1180.611084,448.680603,866.130249,4263.731934,491.5934143,143.5517426,228.0278625,306.1914368,556.1241455
05-01-2018,10558.84961,103.7250061,411.0979004,239.6793976,1176.524902,1137.973389,646.6296387,561.6963501,2717.55542,511.5391846,1786.955688,481.7113647,18518.08984,342.6358948,2059.812744,600.8202515,168.1127777,1066.96875,2341.019043,2615.336182,96.6847229,1181.796387,394.9597168,1581.57312,893.4147339,401.5439758,3075.009521,267.3845825,288.0621338,1241.092163,997.2081909,303.8479309,1636.648682,434.1792297,86.07608032,213.80513,244.2176819,1000.898254,1200.171021,872.7901611,721.1964722,8943.546875,7185.929688,109.4492188,144.3583527,113.1079712,895.005188,692.6763916,293.1857605,18537.99805,551.3302612,296.9740906,431.6000061,28.85308075,1194.874023,451.1706848,882.4265137,4313.085938,486.90802,143.742218,226.4913025,321.3995972,562.6921387
08-01-2018,10623.59961,105.4971542,410.224823,240.2919464,1161.182617,1134.853027,652.6032104,563.8903198,2714.157959,520.9225464,1808.966431,460.6141968,18805.07617,349.3101501,2081.834229,600.7225342,173.3597107,1075.204712,2344.047852,2611.793457,97.27140045,1170.895264,395.1572266,1596.011841,891.9765015,416.4415588,3109.581055,267.1427002,292.3310242,1251.933838,1019.12439,305.0617676,1657.562012,444.4974365,87.13002777,216.0009003,244.9886322,1003.941711,1221.483521,895.2365723,724.581543,8957.861328,7263.125488,109.5417252,143.5945587,112.7145538,900.1430054,694.84729,292.6593628,18938.63281,563.5714722,301.3867188,433.5499878,28.78007698,1206.070557,460.4868774,898.3346558,4342.030762,493.2915344,144.0385742,227.6619873,322.1237793,569.4520264
09-01-2018,10637,105.2017899,408.4788208,242.5233612,1152.970581,1145.46228,648.5567017,563.7406616,2687.437012,514.4524536,1791.880005,454.7712402,18646.86719,348.5373535,2058.858887,601.2597046,183.3710632,1049.292847,2326.253662,2558.081787,97.96563721,1204.474609,392.2390747,1590.603027,893.4627075,429.6619263,3078.951172,262.6444092,289.6239014,1245.437866,1012.054688,303.5566406,1662.525391,446.7712402,87.99337769,220.026535,243.2753754,1007.583862,1216.463501,895.1881104,727.0130005,8895.861328,7115.047852,108.955925,143.3035889,112.9674683,912.1637573,707.7741699,291.2238464,18993.12695,558.7130737,299.2041321,437.5499878,28.91298294,1203.671875,458.3832092,904.9794922,4343.551758,497.2222595,142.9590759,232.0886536,329.6072083,556.1721191
10-01-2018,10632.2002,106.7591553,410.7583923,241.6045227,1152.774048,1130.436646,648.1231689,561.2476196,2657.525879,518.7575073,1774.842651,451.7382202,18629.04883,347.2727051,2073.406982,605.3131104,185.9342194,1039.660034,2295.966309,2513.404297,97.01717377,1202.527954,401.893158,1582.718994,893.7023926,423.495697,3068.645508,260.0324402,294.6910095,1249.55481,1001.574768,302.973938,1671.247559,451.4477234,87.35427856,219.0912933,242.2475128,1000.099976,1208.248779,897.6605225,724.5338135,8888.561523,7176.692383,107.260231,143.9582825,112.3211517,913.520874,702.1987915,288.1613464,19063.21289,557.3793945,298.0653687,433.2999878,28.93356895,1247.037476,465.4670105,890.0895996,4320.34668,489.832489,141.7313843,239.0395966,328.1104736,556.6036377
11-01-2018,10651.2002,108.3165054,412.7469482,237.7980042,1153.020142,1141.525757,649.9055176,557.2087402,2645.92627,513.454834,1753.324219,459.1869202,18764.03125,345.9378967,2094.163818,598.0854492,185.8136139,1061.092896,2295.540771,2544.462402,96.89984131,1210.801025,402.3538818,1596.37854,897.7055054,440.7118225,3042.984131,259.0167236,292.1921997,1261.311279,1021.910767,300.5462952,1638.672485,461.5514221,87.20851135,219.4165955,242.0333405,1015.46698,1208.066162,900.9572144,731.0178223,8854.384766,7201.981934,106.9827576,143.9582825,111.1970673,909.0615845,694.5018311,289.2140808,19096.74414,560.0943604,297.3062439,434.75,28.8624382,1239.883789,473.7098389,879.7104492,4323.191895,494.4550476,141.3504181,234.942215,331.3452759,556.1241455
12-01-2018,10681.25,107.3767242,410.612915,235.7416077,1144.119507,1142.24585,642.6795654,553.5687866,2630.970947,504.5653076,1743.229858,454.5482178,18591.85742,344.181488,2088.287354,597.8412476,186.3564301,1053.627563,2316.646973,2562.804932,98.00474548,1189.047607,406.3031921,1614.346802,894.2297363,449.8377991,3027.956543,260.0808105,295.6280518,1257.056885,1018.542114,308.5090637,1643.442871,462.6882935,87.24214935,217.5867615,245.6738586,1021.154724,1213.177612,891.1641235,731.8283081,8967.533203,7124.194336,106.3661346,146.0314484,110.3540497,919.9674072,692.4788818,289.2619324,18447.875,555.8075562,309.120636,437.1000061,28.83623314,1233.59668,472.8941345,876.7033081,4322.603027,487.6312866,143.742218,233.2593079,329.1726379,566.6713257
