Date,Nifty,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFC,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,UPL,WIPRO
15-01-2008,6074.25,68.23123169,193.1136017,235.8700104,95.2561264,213.6921997,409.8918152,2411.018311,39.22299957,369.1582947,40.24824524,124.1945419,189.1594086,,396.2911682,594.3232422,30.80631256,442.0365295,48.78428268,469.714386,159.5738831,,430.2588196,156.5748596,160.1084442,200.5653534,108.1636505,133.4719391,49.9910202,93.67332458,312.5186157,736.2207031,160.7578278,777.2365723,437.1955872,131.3538818,112.4901199,65.48763275,702.8695679,,189.3875275,99.35549927,63.38869858,132.0793457,24.87175369,173.0679016,191.2350006,69.12483215,855.9675293,115.912674,88.96063995
16-01-2008,5935.75,67.82221222,189.5901184,238.3610535,94.09532166,206.5753784,407.2061462,2402.193359,39.57474136,372.4936523,40.52640915,121.8292313,190.0823212,,398.4019165,593.3516846,29.8059864,439.0926208,47.40127945,457.8771667,149.2980957,,429.0401001,151.4257202,158.5575562,202.9533997,110.0463104,132.8676605,48.28113937,88.56484222,307.1338196,720.9047852,161.5014038,756.1409912,437.1955872,123.8993378,110.4512482,64.14347076,686.9050903,,188.7701263,98.63617706,63.30822754,128.8074188,23.87641716,173.9793701,187.763855,67.52785492,817.1511841,112.0858231,88.225914
17-01-2008,5913.200195,67.5068512,187.8421173,235.2072601,94.14295959,207.5308533,407.3395691,2392.438232,40.54640198,375.2478943,40.43064499,121.6292114,193.7279816,,389.1102295,593.395874,30.25511551,448.8786926,47.16342926,458.9795837,146.6086426,,424.7750244,151.3860779,160.6623383,196.1007538,109.7773666,132.432251,50.31451035,89.50842285,311.8517151,739.8909912,165.4268799,771.3939819,437.1955872,122.4851379,110.1650162,65.86495972,665.3452148,,188.8326721,97.88089752,63.58412552,126.5230789,23.66480255,169.8827362,186.8863068,66.77584839,832.9859009,109.310318,89.43434143
18-01-2008,5705.299805,64.35334778,183.003006,223.9633942,90.09309387,198.7263489,407.3395691,2392.38916,38.33925629,375.7212219,40.06583786,121.7037048,186.9904633,,348.1678162,591.8944092,29.30785942,448.2939148,47.16342926,458.9795837,140.1327972,,424.0742798,146.6330109,157.9668274,183.9232788,104.4431534,130.4774017,49.13607025,84.96841431,278.2828979,713.980896,159.1067657,751.0566406,437.1955872,114.6709824,106.739006,62.79925919,621.6151123,,184.6127014,97.8494339,59.66783905,122.6843643,22.84021568,166.292572,176.8141327,63.17187881,822.7097168,102.1052017,87.84887695
21-01-2008,5208.799805,61.00938034,151.8064117,208.2402496,90.57822418,189.421814,353.1588745,2216.097412,30.86486626,356.7641602,37.17467499,115.9454727,175.453537,,317.8772583,550.2060547,25.22484589,404.7005615,43.89528656,432.1427002,134.4329529,,391.7813416,132.0172424,147.4430389,174.0151367,87.81292725,123.6088104,46.64056396,75.08406067,238.0447693,670.0090332,145.9089203,716.4473267,437.1955872,98.65923309,98.33690643,52.11657715,564.1519165,,171.6244965,95.27336884,54.59046936,112.2674561,21.06262016,153.0086365,161.0184784,56.48501968,748.0664673,96.87659454,84.97761536
22-01-2008,4899.299805,57.95890808,135.3386841,192.1057281,82.29658508,174.0540771,342.2409668,2058.973877,29.01385117,362.5523987,35.83397293,116.6044235,163.224411,,307.0187683,525.5198975,21.33373451,384.7790527,40.49500656,404.0021667,127.2344971,,361.1943054,118.1936493,135.9223328,166.85849,72.43783569,122.7024765,42.26188278,68.54473877,249.8025055,664.2542725,133.3780823,719.8813477,437.1955872,94.15293884,84.48317719,46.88132477,523.4414063,,167.0332947,87.12262726,47.76186752,111.7951202,19.5754509,147.3378296,137.7246857,49.94765472,705.1396484,89.26493835,83.51782227
23-01-2008,5203.399902,57.92144775,157.6850891,217.2901917,86.85752106,181.394165,368.8893127,2210.998535,33.81945419,364.9624634,36.68217087,112.5838928,168.1160126,,321.3153687,537.2225952,23.63247299,407.8527222,42.71659851,407.7279663,136.8591614,,368.9325562,126.9076385,140.7595825,170.7890625,82.29940796,126.3544846,45.02310944,74.80948639,272.6263428,679.9324951,138.5172577,736.918457,437.1955872,106.2336578,87.33232117,52.11657715,566.3499756,,181.5961609,87.43283081,51.99237061,113.1605759,20.38982201,161.1429291,139.6650391,51.30904007,766.1901855,97.63354492,83.41149139
24-01-2008,5033.450195,55.02710342,149.8007965,212.8566284,88.02702332,178.9832001,348.8884583,2127.657471,32.72467041,366.554718,36.35383987,114.348999,159.1172638,,297.7923584,498.3606567,21.19083214,387.7901306,40.92154694,419.9272766,134.7272797,,395.0106506,118.9065933,137.4731903,167.8819122,77.41343689,126.403389,43.32477951,67.3343277,260.078125,639.6854858,136.8989563,703.5581665,437.1955872,97.58060455,83.42631531,52.23446655,552.6281128,,183.1122437,83.2158432,55.8588562,113.1090546,19.57836914,155.8390503,133.7952728,49.38589096,741.3867798,93.33010864,79.48646545
25-01-2008,5383.350098,57.78095245,159.2858734,224.1233521,90.69514465,196.0475006,376.2456665,2274.730469,35.48140335,393.8177185,37.42092133,116.0278549,169.2236176,,319.5745544,533.3364258,24.42048836,406.8042603,44.37833023,436.8341064,143.4733429,,421.1496277,137.6021271,147.8123474,187.0826263,88.21636963,135.0490875,45.85494995,75.49784851,268.6618652,705.5526123,147.1991577,743.6531982,437.1955872,106.8089142,89.498909,54.92282867,580.7158813,,188.1332245,87.77001953,60.8289299,122.0231018,20.87143326,163.4808502,141.6931,55.29125977,815.0492554,94.99820709,83.51782227
28-01-2008,5274.100098,56.40713882,151.0244141,224.9004059,97.64272308,203.8518829,409.3079529,2382.583984,35.36270142,374.0213013,35.80662155,113.5841446,170.4234161,,335.6990662,499.9946899,23.44056892,397.9727478,42.88543701,448.2287292,141.8454285,,423.861145,137.6021271,147.6277161,188.9589233,89.6059494,128.5181427,45.34660339,73.17369843,269.3287659,696.4447632,150.7856598,771.3048096,437.1955872,101.9191284,88.08531189,55.51238251,569.8359375,,191.6051331,89.26259613,60.69098282,122.4181671,20.33581924,157.8811798,141.108078,54.94694901,838.4509888,97.95596313,78.96442413
