Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,150.98500061035156,151.99000549316406,147.10000610351562,149.52999877929688,129.2765655517578,218320
2012-01-03,151.5,157.7899932861328,148.10000610351562,156.55999755859375,135.3543701171875,43780
2012-01-04,153.89999389648438,160.60000610351562,151.5,152.5800018310547,131.91346740722656,54850
2012-01-05,154.5,155.89500427246094,150.0,151.23500061035156,130.7506103515625,36390
2012-01-06,152.9949951171875,152.9949951171875,148.61000061035156,149.3699951171875,129.13821411132812,19840
2012-01-09,149.39999389648438,150.9949951171875,145.3000030517578,148.07000732421875,128.01429748535156,59910
2012-01-10,149.5,151.0,148.10000610351562,150.0050048828125,129.6872100830078,197250
2012-01-11,150.5,155.97999572753906,148.50999450683594,149.98500061035156,129.66990661621094,39000
2012-01-12,151.6300048828125,153.875,150.5,152.27000427246094,131.6454315185547,11220
2012-01-13,152.9949951171875,154.0,152.0,153.32000732421875,132.55323791503906,18200
2012-01-16,154.0,154.83999633789062,150.11000061035156,153.59500122070312,132.79095458984375,10260
2012-01-17,151.9949951171875,161.68499755859375,151.9949951171875,160.4149932861328,138.68719482421875,210430
2012-01-18,157.0500030517578,161.0,157.0500030517578,158.4949951171875,137.0272979736328,263230
2012-01-19,157.10000610351562,160.5,156.00999450683594,157.0850067138672,135.8082733154297,11670
2012-01-20,155.05499267578125,162.39999389648438,155.05499267578125,161.31500244140625,139.4652862548828,28410
2012-01-23,159.0500030517578,179.99000549316406,159.0500030517578,161.21499633789062,139.37887573242188,35130
2012-01-24,161.5,163.89999389648438,160.24000549316406,162.99000549316406,140.91343688964844,20100
2012-01-25,163.89999389648438,166.5,161.21499633789062,163.51499938964844,141.3673095703125,21730
2012-01-27,161.01499938964844,166.3000030517578,160.3000030517578,162.96499633789062,140.89181518554688,35850
2012-01-30,162.8000030517578,165.47500610351562,160.60000610351562,162.75999450683594,140.714599609375,19260
2012-01-31,162.5,168.5,161.0,167.14999389648438,144.5099639892578,127790
2012-02-01,166.10000610351562,174.39999389648438,165.6999969482422,170.10000610351562,147.06040954589844,248560
2012-02-02,173.39999389648438,173.39999389648438,168.0500030517578,171.55999755859375,148.32264709472656,117890
2012-02-03,171.60000610351562,175.89999389648438,169.60000610351562,175.35499572753906,151.6036376953125,95860
2012-02-06,176.0,178.5,175.0,175.8300018310547,152.0142822265625,78130
2012-02-07,176.8000030517578,178.46499633789062,172.1999969482422,177.3249969482422,153.3068084716797,138970
2012-02-08,176.0,178.5,176.0,176.85000610351562,152.8961639404297,35930
2012-02-09,177.10000610351562,177.60000610351562,172.52499389648438,175.75999450683594,151.9537811279297,25230
2012-02-10,174.89999389648438,177.5,173.11500549316406,176.99000549316406,153.01715087890625,119260
2012-02-13,178.6999969482422,184.5,169.5,172.3699951171875,149.02294921875,224850
2012-02-14,172.60000610351562,174.875,171.0,173.63499450683594,150.11659240722656,642100
2012-02-15,172.3000030517578,176.60000610351562,170.8000030517578,175.94000244140625,152.10939025878906,184950
2012-02-16,176.5,176.5,171.1199951171875,172.3350067138672,148.99267578125,17100
2012-02-17,174.5,176.3000030517578,172.50999450683594,173.61000061035156,150.094970703125,66730
2012-02-21,172.15499877929688,175.0,171.10000610351562,172.67999267578125,149.2909393310547,31290
2012-02-22,172.6999969482422,175.0,170.0,172.44500732421875,149.08778381347656,78290
2012-02-23,172.0,173.8000030517578,170.8699951171875,172.39999389648438,149.04888916015625,28530
2012-02-24,171.3000030517578,173.0,168.86000061035156,169.35499572753906,146.41632080078125,164470
2012-02-27,169.5,173.89999389648438,165.10000610351562,168.98500061035156,146.096435546875,34400
2012-02-28,167.6999969482422,174.50999450683594,165.02499389648438,173.16000366210938,149.7059326171875,31430
2012-02-29,175.6999969482422,175.6999969482422,171.0,173.72999572753906,150.19873046875,31250
2012-03-01,172.3300018310547,175.69500732421875,169.10000610351562,171.91000366210938,148.625244140625,41440
2012-03-02,172.10000610351562,174.09500122070312,169.2449951171875,169.65499877929688,146.67567443847656,32330
2012-03-05,169.50999450683594,170.8000030517578,165.5,167.07000732421875,144.44081115722656,65010
2012-03-06,166.0,167.99000549316406,165.2899932861328,165.63999938964844,143.20452880859375,19790
2012-03-07,164.30499267578125,169.89999389648438,163.4499969482422,167.125,144.48838806152344,13100
2012-03-09,168.00999450683594,176.4499969482422,168.00999450683594,173.2449951171875,149.7794189453125,186220
2012-03-12,175.99000549316406,175.99000549316406,171.00999450683594,171.9199981689453,148.6339111328125,22260
