SNo,Portfolio Name,Leg ID,Exchange,Exchange Symbol,Product,Order Type,Order ID,Time,Txn,Qty,Filled Qty,Exchg Time,Avg Price,Status,Limit Price,Order Failed,User ID,User Alias,Remarks,Tag
136,BNF_70PCT, 2057,NFO,BANKNIFTY 01JUN23 44300 CE,MIS,MARKET,1100192485,29-May-2023 15.09.11,BUY,75,75,01-Jan-0001 00.00.00,230.65,COMPLETE,0,False,ASDE1950,AD1_IIFL,,10008892
137,BNF_70PCT, 2058,NFO,BANKNIFTY 01JUN23 44300 PE,MIS,MARKET,1100192484,29-May-2023 15.09.11,BUY,75,75,01-Jan-0001 00.00.00,211.13,COMPLETE,0,False,ASDE1950,AD1_IIFL,,10008895
138,BNF_70PCT, 2057,NFO,BANKNIFTY 01JUN23 44300 CE,MIS,MARKET,202010008899,29-May-2023 15.09.11,BUY,75,75,29-May-2023 15.09.11,230.75,COMPLETE,0,False,SIM1,SIMULATED1,,10008893
139,BNF_70PCT, 2058,NFO,BANKNIFTY 01JUN23 44300 PE,MIS,MARKET,202010008898,29-May-2023 15.09.11,BUY,75,75,29-May-2023 15.09.11,211.25,COMPLETE,0,False,SIM1,SIMULATED1,,10008896
140,BNF_70PCT, 2057,NFO,BANKNIFTY 01JUN23 44300 CE,MIS,MARKET,230529000200539,29-May-2023 15.09.11,BUY,75,75,01-Jan-0001 00.00.00,230.75,COMPLETE,0,False,50062865,RKEDEL,,10008894
141,BNF_70PCT, 2058,NFO,BANKNIFTY 01JUN23 44300 PE,MIS,MARKET,230529000200540,29-May-2023 15.09.11,BUY,75,75,01-Jan-0001 00.00.00,211.10,COMPLETE,0,False,50062865,RKEDEL,,10008897
142,NF_CP_2RE, 2061,NFO,NIFTY 01JUN23 18700 CE,MIS,MARKET,1100192505,29-May-2023 15.09.16,BUY,150,150,01-Jan-0001 00.00.00,35.21666666666667,COMPLETE,0,False,ASDE1950,AD1_IIFL,,10008902
143,NF_CP_2RE, 2062,NFO,NIFTY 01JUN23 18550 PE,MIS,MARKET,1100192504,29-May-2023 15.09.16,BUY,150,150,01-Jan-0001 00.00.00,49.50,COMPLETE,0,False,ASDE1950,AD1_IIFL,,10008905
144,NF_CP_2RE, 2061,NFO,NIFTY 01JUN23 18700 CE,MIS,MARKET,202010008908,29-May-2023 15.09.16,BUY,150,150,29-May-2023 15.09.16,35.15,COMPLETE,0,False,SIM1,SIMULATED1,,10008903
145,NF_CP_2RE, 2062,NFO,NIFTY 01JUN23 18550 PE,MIS,MARKET,202010008909,29-May-2023 15.09.16,BUY,150,150,29-May-2023 15.09.16,49.6,COMPLETE,0,False,SIM1,SIMULATED1,,10008906
146,NF_CP_2RE, 2061,NFO,NIFTY 01JUN23 18700 CE,MIS,MARKET,230529000200603,29-May-2023 15.09.16,BUY,150,150,01-Jan-0001 00.00.00,35.25,COMPLETE,0,False,50062865,RKEDEL,,10008904
147,NF_CP_2RE, 2062,NFO,NIFTY 01JUN23 18550 PE,MIS,MARKET,230529000200602,29-May-2023 15.09.16,BUY,150,150,01-Jan-0001 00.00.00,49.50,COMPLETE,0,False,50062865,RKEDEL,,10008907
148,BNF_CP_2RE, 2060,NFO,BANKNIFTY 01JUN23 43900 PE,MIS,MARKET,1100192509,29-May-2023 15.09.18,BUY,75,75,01-Jan-0001 00.00.00,88.50,COMPLETE,0,False,ASDE1950,AD1_IIFL,,10008912
149,BNF_CP_2RE, 2080,NFO,BANKNIFTY 01JUN23 44600 CE,MIS,MARKET,1100192510,29-May-2023 15.09.18,BUY,75,75,01-Jan-0001 00.00.00,98.55,COMPLETE,0,False,ASDE1950,AD1_IIFL,,10008915
150,BNF_CP_2RE, 2060,NFO,BANKNIFTY 01JUN23 43900 PE,MIS,MARKET,202010008919,29-May-2023 15.09.18,BUY,75,75,29-May-2023 15.09.18,88.5,COMPLETE,0,False,SIM1,SIMULATED1,,10008913
151,BNF_CP_2RE, 2080,NFO,BANKNIFTY 01JUN23 44600 CE,MIS,MARKET,202010008918,29-May-2023 15.09.18,BUY,75,75,29-May-2023 15.09.18,98.4,COMPLETE,0,False,SIM1,SIMULATED1,,10008916
152,BNF_CP_2RE, 2060,NFO,BANKNIFTY 01JUN23 43900 PE,MIS,MARKET,230529000200622,29-May-2023 15.09.18,BUY,75,75,01-Jan-0001 00.00.00,88.35,COMPLETE,0,False,50062865,RKEDEL,,10008914
153,BNF_CP_2RE, 2080,NFO,BANKNIFTY 01JUN23 44600 CE,MIS,MARKET,230529000200621,29-May-2023 15.09.18,BUY,75,75,01-Jan-0001 00.00.00,98.70,COMPLETE,0,False,50062865,RKEDEL,,10008917
154,BNF_25PCT_2RE, 2064,NFO,BANKNIFTY 01JUN23 44300 PE,MIS,MARKET,202010008941,29-May-2023 15.09.22,BUY,75,75,29-May-2023 15.09.24,210.6,COMPLETE,0,False,SIM1,SIMULATED1,,10008922
155,BNF_25PCT_2RE, 2071,NFO,BANKNIFTY 01JUN23 44300 CE,MIS,MARKET,202010008940,29-May-2023 15.09.22,BUY,75,75,29-May-2023 15.09.23,231,COMPLETE,0,False,SIM1,SIMULATED1,,10008931
156,NF_70PCT, 2051,NFO,NIFTY 01JUN23 18600 CE,MIS,MARKET,1100192522,29-May-2023 15.09.22,BUY,150,150,01-Jan-0001 00.00.00,80.70,COMPLETE,0,False,ASDE1950,AD1_IIFL,,10008923
