Date,company,Open,High,Low,Close,Adj Close,Volume
2008-01-01,AXISBANK,194.05999755859375,196.69000244140625,193.22000122070312,194.50999450683594,173.68798828125,723580
2008-01-02,AXISBANK,196.0,208.99000549316406,196.0,206.92999267578125,184.77841186523438,3686330
2008-01-03,AXISBANK,206.0,209.92999267578125,205.0,207.1699981689453,184.99276733398438,2562330
2008-01-04,AXISBANK,207.0,214.88999938964844,205.42999267578125,210.97999572753906,188.3948974609375,3574130
2008-01-07,AXISBANK,207.0,219.39999389648438,196.1300048828125,218.02999877929688,194.690185546875,3104430
2008-01-08,AXISBANK,220.0,225.0,210.6199951171875,213.14999389648438,190.33261108398438,3222265
2008-01-09,AXISBANK,214.0,223.8000030517578,213.0,219.1199951171875,195.6635284423828,5181265
2008-01-10,AXISBANK,223.0,225.0,214.80999755859375,217.8300018310547,194.51161193847656,4727250
2008-01-11,AXISBANK,219.8000030517578,235.99000549316406,216.0,233.9499969482422,208.90599060058594,6572805
2008-01-14,AXISBANK,236.0,258.29998779296875,232.6199951171875,253.6300048828125,226.47930908203125,8199610
2008-01-15,AXISBANK,253.1999969482422,257.5299987792969,237.00999450683594,239.30999755859375,213.69223022460938,6402495
2008-01-16,AXISBANK,238.0,239.77000427246094,227.91000366210938,231.33999633789062,206.57537841796875,4469725
2008-01-17,AXISBANK,233.60000610351562,239.0,223.1999969482422,232.41000366210938,207.53085327148438,3536020
2008-01-18,AXISBANK,232.0,232.0,218.0,222.5500030517578,198.7263641357422,516090
2008-01-21,AXISBANK,216.0,227.75999450683594,204.0,212.1300048828125,189.4217987060547,2408440
2008-01-22,AXISBANK,200.0,219.8000030517578,169.7100067138672,194.9199981689453,174.0541229248047,3639625
2008-01-23,AXISBANK,207.75999450683594,220.0,192.0,203.13999938964844,181.3941650390625,4573800
2008-01-24,AXISBANK,220.0,223.77999877929688,196.0,200.44000244140625,178.98318481445312,6836390
2008-01-25,AXISBANK,204.39999389648438,230.1999969482422,202.0,219.5500030517578,196.0474853515625,3481300
2008-01-28,AXISBANK,217.8000030517578,230.1999969482422,207.05999755859375,228.2899932861328,203.85189819335938,1895700
2008-01-29,AXISBANK,230.1999969482422,239.0,214.39999389648438,229.24000549316406,204.7002410888672,4328530
2008-01-30,AXISBANK,230.0,230.0,214.39999389648438,220.14999389648438,196.58326721191406,259620
2008-01-31,AXISBANK,223.60000610351562,230.0,210.1999969482422,224.16000366210938,200.16400146484375,4376745
2008-02-01,AXISBANK,228.0,230.0,212.0,217.02999877929688,193.7972412109375,7751540
2008-02-04,AXISBANK,223.8000030517578,225.9600067138672,215.39999389648438,217.7899932861328,194.47592163085938,3356465
2008-02-05,AXISBANK,218.39999389648438,219.8000030517578,210.64999389648438,211.94000244140625,189.25213623046875,1990970
2008-02-06,AXISBANK,210.0,217.77999877929688,203.30999755859375,216.92999267578125,193.7079315185547,2488040
2008-02-07,AXISBANK,216.92999267578125,216.92999267578125,203.00999450683594,206.94000244140625,184.78738403320312,2603445
2008-02-08,AXISBANK,206.94000244140625,208.94000244140625,193.11000061035156,196.72999572753906,175.6703338623047,2601065
2008-02-11,AXISBANK,196.72999572753906,197.39999389648438,180.1999969482422,186.14999389648438,166.22288513183594,3395480
2008-02-12,AXISBANK,187.22000122070312,200.0,184.2100067138672,198.1199951171875,176.9115447998047,4889300
2008-02-13,AXISBANK,200.0,204.0,192.0,193.39999389648438,172.6968231201172,3252485
2008-02-14,AXISBANK,205.0,205.0,194.47000122070312,198.63999938964844,177.37586975097656,2712105
2008-02-15,AXISBANK,196.0,210.0,193.0,205.8800048828125,183.84083557128906,2325490
2008-02-18,AXISBANK,208.0,213.3800048828125,206.39999389648438,210.17999267578125,187.68055725097656,3079605
2008-02-19,AXISBANK,218.39999389648438,219.97000122070312,203.30999755859375,207.6300048828125,185.40354919433594,1996365
2008-02-20,AXISBANK,207.60000610351562,207.60000610351562,197.02999877929688,201.22000122070312,179.67970275878906,1581545
2008-02-21,AXISBANK,201.75999450683594,207.0,196.0399932861328,200.13999938964844,178.7152862548828,1558855
2008-02-22,AXISBANK,196.0,197.0,192.0500030517578,194.1999969482422,173.4112091064453,2060320
2008-02-25,AXISBANK,199.60000610351562,199.9199981689453,187.60000610351562,191.36000061035156,170.87518310546875,2545540
2008-02-26,AXISBANK,190.0,196.0,190.0,192.16000366210938,171.58953857421875,1683995
2008-02-27,AXISBANK,194.22000122070312,200.97999572753906,194.0,198.57000732421875,177.31338500976562,2757150
2008-02-28,AXISBANK,200.0,205.60000610351562,195.00999450683594,201.91000366210938,180.29580688476562,2778390
