Date,Open,High,Low,Close,Adj Close,Volume,Symbol,daily_return
2012-01-02,44.90959167480469,44.90959167480469,43.3768424987793,44.24284362792969,37.37944030761719,4426427,ADANIENT,-0.45037165790572636
2012-01-03,44.44976806640625,45.0628662109375,43.491798400878906,44.04358673095703,37.21109390258789,7148175,ADANIENT,-0.45037165790572636
2012-01-04,44.04358673095703,45.0628662109375,42.334571838378906,42.63345718383789,36.019710540771484,7327278,ADANIENT,-3.2016886279539074
2012-01-05,42.319244384765625,42.564483642578125,40.617889404296875,40.93976974487305,34.58876419067383,6668403,ADANIENT,-3.9726758727778706
2012-01-06,40.31134033203125,41.92072677612305,40.012454986572266,41.162017822265625,34.77653884887695,7823555,ADANIENT,0.542877615308831
2012-01-09,41.284637451171875,41.84408950805664,40.51826095581055,41.04705810546875,34.67941665649414,7501748,ADANIENT,-0.2792750388555384
2012-01-10,41.18500900268555,43.76002883911133,41.18500900268555,43.43048858642578,36.69310760498047,14022646,ADANIENT,5.806588295392333
2012-01-11,43.52245330810547,49.507843017578125,43.52245330810547,48.12836837768555,40.662200927734375,29144161,ADANIENT,10.816999654221625
2012-01-12,48.0823860168457,50.550113677978516,46.98646926879883,49.22428512573242,41.588104248046875,16233789,ADANIENT,2.2770614949201415
2012-01-13,48.91773223876953,50.23590087890625,47.21638107299805,49.492515563964844,41.81472396850586,4441048,ADANIENT,0.5449147648263559
2012-01-16,49.35456848144531,54.926116943359375,48.603519439697266,54.41264343261719,45.97159194946289,11490382,ADANIENT,9.94115848782815
2012-01-17,55.01041793823242,57.63142013549805,54.0371208190918,57.07963180541992,48.224853515625,13889761,ADANIENT,4.901421661967126
2012-01-18,57.32487106323242,61.992095947265625,56.987667083740234,61.28703308105469,51.77956008911133,22122301,ADANIENT,7.371109115623528
2012-01-19,62.8044548034668,68.92779541015625,61.4786262512207,67.51766204833984,57.04362869262695,22645321,ADANIENT,10.166306153347564
2012-01-20,68.2073974609375,69.87043762207031,61.46329879760742,62.19901657104492,52.55006790161133,28273373,ADANIENT,-7.877410490887005
2012-01-23,61.31002426147461,63.90037155151367,59.63166046142578,61.22572326660156,51.727760314941406,24054194,ADANIENT,-1.5648078480307877
2012-01-24,61.1567497253418,63.36391067504883,60.88851547241211,62.16836166381836,52.524169921875,9317902,ADANIENT,1.5396174164214746
2012-01-25,62.306312561035156,63.042030334472656,60.957489013671875,61.29469680786133,51.78603744506836,7643709,ADANIENT,-1.4053196421848202
2012-01-27,60.712249755859375,65.86228942871094,50.98694610595703,64.9043197631836,54.835697174072266,20247899,ADANIENT,5.888961348392044
2012-01-30,64.2529067993164,64.9119873046875,59.49371337890625,60.29074478149414,50.93782424926758,14668909,ADANIENT,-7.108276406938257
2012-01-31,60.451683044433594,64.52880096435547,60.083824157714844,63.74709701538086,53.85799789428711,18940243,ADANIENT,5.732819742613014
2012-02-01,63.60914993286133,67.17279052734375,63.60914993286133,66.86624145507812,56.49325942993164,13876484,ADANIENT,4.892980873178841
2012-02-02,67.8855209350586,67.8855209350586,64.666748046875,65.91593933105469,55.690372467041016,14709385,ADANIENT,-1.421208425558172
2012-02-03,65.91593933105469,66.39875793457031,64.38318634033203,65.5020980834961,55.34073257446289,4238047,ADANIENT,-0.6278282530522683
2012-02-06,66.4830551147461,67.44102478027344,65.14189910888672,66.68231201171875,56.33786392211914,16488866,ADANIENT,1.8018036648043554
2012-02-07,67.44102478027344,67.44869232177734,60.93449783325195,61.54759979248047,51.99970245361328,10579973,ADANIENT,-7.700259055797513
2012-02-08,61.76984786987305,64.1686019897461,61.70087432861328,62.8810920715332,53.12633514404297,7578551,ADANIENT,2.166613725212579
2012-02-09,63.156986236572266,63.76242446899414,57.99161911010742,60.05316925048828,50.73710632324219,22756859,ADANIENT,-4.497258872314072
2012-02-10,60.31373596191406,62.1377067565918,58.282840728759766,60.359718322753906,50.99610137939453,9106034,ADANIENT,0.5104647760207416
2012-02-13,60.54364776611328,60.965152740478516,56.72710037231445,57.14094161987305,48.27665328979492,10319519,ADANIENT,-5.332658803401055
2012-02-14,57.0949592590332,57.248233795166016,53.653934478759766,54.58124923706055,46.114051818847656,24474836,ADANIENT,-4.479601056779162
2012-02-15,54.71919631958008,58.397796630859375,54.5352668762207,57.99928283691406,49.00183868408203,34248657,ADANIENT,6.262270937671288
2012-02-16,58.275177001953125,60.5283203125,57.002994537353516,60.114479064941406,50.78890609741211,18705678,ADANIENT,3.6469395053753297
2012-02-17,60.8118782043457,65.06526184082031,60.55131149291992,63.49419403076172,53.644317626953125,25436786,ADANIENT,5.622116617484128
2012-02-21,63.49419403076172,65.50975799560547,63.49419403076172,64.65142059326172,54.62202835083008,16217367,ADANIENT,1.8225802230835177
2012-02-22,64.78936767578125,65.29517364501953,58.57406234741211,59.35576629638672,50.147884368896484,19817829,ADANIENT,-8.191098201620704
2012-02-23,59.1641731262207,60.696922302246094,57.478145599365234,58.9189338684082,49.7788200378418,15448025,ADANIENT,-0.7359519463269609
2012-02-24,59.60866928100586,60.40570068359375,57.0183219909668,57.738712310791016,48.78168869018555,8061644,ADANIENT,-2.003123711848196
2012-02-27,57.738712310791016,57.914981842041016,52.8798942565918,53.27074432373047,45.006839752197266,6716813,ADANIENT,-7.738249821490391
2012-02-28,53.80720901489258,56.711769104003906,53.79954528808594,56.36690139770508,47.622684478759766,9863215,ADANIENT,5.812104873314934
2012-02-29,57.15626907348633,58.390132904052734,56.711769104003906,57.43982696533203,48.5291633605957,7674862,ADANIENT,1.9034602768775812
