Instrument,SoldQuantity,BuyAvg,BuyValue,SellAvg,SellValue,NetRealizedPnL,RealisedGLPerc,CloseQuantityAsOnLastDay,BuyAvgOpenPrice,SellAvgPrice,CMP,NetUnrealizedPnL,NetUnrealizedPnlPerc,TotalGL,TotalGLPerc,DayGL,DayGLPerc,AssetType
BANKNIFTY-OPT-16Sep2021-PE-36500-NSE,3200,219.32,701836,264.27,845648,143812,11.85%,0,0,0,0,0,0,143812,20.49%,,%,FnO
BANKNIFTY-OPT-16Sep2021-PE-36800-NSE,2200,3.96,8712,21.65,47630,38918,81.71%,0,0,0,0,0,0,38918,446.72%,,%,FnO
BANKNIFTY-OPT-17Feb2022-CE-37000-NSE,3625,419.74,1521552.81,709.95,2573567.84,1052015.03,69.14%,0,0,0,0,0,0,1052015.03,69.14%,,%,FnO
BANKNIFTY-OPT-17Feb2022-CE-37500-NSE,1525,752.18,1147074.49,179.71,274064.94,-873009.55,-76.11%,0,0,0,0,0,0,-873009.55,-76.11%,,%,FnO
BANKNIFTY-OPT-17Feb2022-CE-38000-NSE,2200,273.03,600668.8,121.4,267077.67,-333591.13,-55.54%,0,0,0,0,0,0,-333591.13,-55.54%,,%,FnO
BANKNIFTY-OPT-17Feb2022-CE-38200-NSE,4400,111.4,490148.81,84.59,372204.4,-117944.41,-22.30%,0,0,0,0,0,0,-117944.41,-24.06%,,%,FnO
BANKNIFTY-OPT-17Feb2022-CE-38500-NSE,3000,244.67,734000.72,349.86,1049577.53,315576.81,27.84%,0,0,0,0,0,0,315576.81,42.99%,,%,FnO
BANKNIFTY-OPT-17Feb2022-CE-38700-NSE,2900,6.58,19081.07,78.18,226720.19,207639.12,93.60%,0,0,0,0,0,0,207639.12,1088.19%,,%,FnO
BANKNIFTY-OPT-17Feb2022-CE-39200-NSE,1000,31.24,31238.04,194.02,194022.37,162784.33,83.90%,0,0,0,0,0,0,162784.33,521.11%,,%,FnO
BANKNIFTY-OPT-17Feb2022-PE-36000-NSE,3400,22.49,76481.52,109.37,371858.9,295377.38,79.43%,0,0,0,0,0,0,295377.38,386.21%,,%,FnO
BANKNIFTY-OPT-17Feb2022-PE-37000-NSE,1200,482.02,578428.6,139.82,167784,-410644.6,-70.99%,0,0,0,0,0,0,-410644.6,-70.99%,,%,FnO
BANKNIFTY-OPT-17Feb2022-PE-37500-NSE,3725,49.19,183227.09,94.84,353267.48,170040.38,43.78%,0,0,0,0,0,0,170040.38,92.80%,,%,FnO
BANKNIFTY-OPT-17Feb2022-PE-38000-NSE,2025,238.99,483952.42,199,402969.78,-80982.65,-14.25%,0,0,0,0,0,0,-80982.65,-16.73%,,%,FnO
BANKNIFTY-OPT-17Feb2022-PE-38500-NSE,1000,221.74,221741.85,307.92,307922.7,86180.85,38.87%,0,0,0,0,0,0,86180.85,38.87%,,%,FnO
BANKNIFTY-OPT-17Jun2021-CE-35000-NSE,6000,422.38,2534280,327.34,1964040,-570240,-22.50%,0,0,0,0,0,0,-570240,-22.50%,,%,FnO
BANKNIFTY-OPT-17Jun2021-CE-35500-NSE,6000,44.03,264180,121.75,730500,466320,63.84%,0,0,0,0,0,0,466320,176.52%,,%,FnO
BANKNIFTY-OPT-17Jun2021-CE-35800-NSE,2000,108.87,217740,131.13,262260,44520,20.45%,0,0,0,0,0,0,44520,20.45%,,%,FnO
