Instrument,SoldQuantity,BuyAvg,BuyValue,SellAvg,SellValue,NetRealizedPnL,RealisedGLPerc,CloseQuantityAsOnLastDay,BuyAvgOpenPrice,SellAvgPrice,CMP,NetUnrealizedPnL,NetUnrealizedPnlPerc,TotalGL,TotalGLPerc,DayGL,DayGLPerc,AssetType
,,,3489090288,,3497753627,8663338.17,,,,,,0,,8663338.17,,0,,
ADANIENT-OPT-25Feb2021-CE-580-NSE,10000,25.27,252700,27.61,276100,23400,9.26%,0,0,0,0,0,0,23400,9.26%,,%,FnO
ADANIENT-OPT-25Jun2020-CE-160-NSE,16000,7.91,126560,7.99,127840,1280,1.01%,0,0,0,0,0,0,1280,1.01%,,%,FnO
ADANIENT-OPT-25Mar2021-PE-1040-NSE,10000,18.12,181200,17.92,179200,-2000,-1.10%,0,0,0,0,0,0,-2000,-1.10%,,%,FnO
ADANIENT-OPT-25Mar2021-PE-850-NSE,12000,18.02,216240,16.87,202440,-13800,-6.38%,0,0,0,0,0,0,-13800,-6.38%,,%,FnO
ADANIENT-OPT-25Mar2021-PE-900-NSE,16000,38.83,621280,43.46,695360,74080,11.92%,0,0,0,0,0,0,74080,11.92%,,%,FnO
ADANIENT-OPT-27Aug2020-CE-200-NSE,20000,7.79,155800,6.94,138800,-17000,-10.91%,0,0,0,0,0,0,-17000,-10.91%,,%,FnO
AMARAJABAT-FUT-25Feb2021-NSE,2000,982.16,1964320,911.68,1823360,-140960,-7.18%,0,0,0,0,0,0,-140960,-7.18%,,%,FnO
AMARAJABAT-OPT-25Feb2021-CE-1000-NSE,7000,31.07,217490,37.54,262790,45300,20.83%,0,0,0,0,0,0,45300,20.83%,,%,FnO
AMARAJABAT-OPT-25Feb2021-CE-1040-NSE,2000,5.27,10540,22.86,45720,35180,76.95%,0,0,0,0,0,0,35180,333.78%,,%,FnO
AMARAJABAT-OPT-27Aug2020-CE-750-NSE,5000,25.13,125650,23.55,117750,-7900,-6.29%,0,0,0,0,0,0,-7900,-6.29%,,%,FnO
APOLLOHOSP-OPT-29Oct2020-CE-2100-NSE,3000,30.15,90450,51.81,155430,64980,71.84%,0,0,0,0,0,0,64980,71.84%,,%,FnO
ASHOKLEY-OPT-26Nov2020-PE-80-NSE,27000,5.21,140670,5.89,159030,18360,13.05%,0,0,0,0,0,0,18360,13.05%,,%,FnO
ASIANPAINT-FUT-28Jan2021-NSE,3000,2747.69,8243070,2783.84,8351505,108435,1.30%,0,0,0,0,0,0,108435,1.32%,,%,FnO
ASIANPAINT-FUT-31Dec2020-NSE,1500,2520.51,3780765,2515.39,3773085,-7680,-0.20%,0,0,0,0,0,0,-7680,-0.20%,,%,FnO
ASIANPAINT-OPT-28Jan2021-CE-2700-NSE,1500,59.1,88650,109.32,163980,75330,45.94%,0,0,0,0,0,0,75330,84.97%,,%,FnO
ASIANPAINT-OPT-28Jan2021-PE-2700-NSE,1500,64.26,96390,35.4,53100,-43290,-81.53%,0,0,0,0,0,0,-43290,-44.91%,,%,FnO
ASIANPAINT-OPT-28Jan2021-PE-2800-NSE,1500,51.71,77565,64.87,97305,19740,25.45%,0,0,0,0,0,0,19740,25.45%,,%,FnO
ASIANPAINT-OPT-31Dec2020-CE-2600-NSE,1800,63.6,114480,21.22,38196,-76284,-66.64%,0,0,0,0,0,0,-76284,-66.64%,,%,FnO
ASIANPAINT-OPT-31Dec2020-PE-2440-NSE,1500,14.72,22080,34.98,52470,30390,57.92%,0,0,0,0,0,0,30390,137.64%,,%,FnO
AUROPHARMA-FUT-24Sep2020-NSE,7800,807,6294600,809.8,6316440,21840,0.35%,0,0,0,0,0,0,21840,0.35%,,%,FnO
AUROPHARMA-FUT-30Apr2020-NSE,7000,496.65,3476550,507.12,3549860,73310,2.11%,0,0,0,0,0,0,73310,2.11%,,%,FnO
AUROPHARMA-OPT-30Apr2020-CE-540-NSE,7000,35.36,247540,31.7,221900,-25640,-11.46%,0,0,0,0,0,0,-25640,-10.36%,,%,FnO
AXISBANK-OPT-29Oct2020-PE-510-NSE,4800,12.02,57696,11.92,57216,-480,-0.83%,0,0,0,0,0,0,-480,-0.83%,,%,FnO
BAJAJFINSV-FUT-25Feb2021-NSE,1000,10072.67,10072670,10211.62,10211620,138950,1.38%,0,0,0,0,0,0,138950,1.38%,,%,FnO
BAJAJFINSV-FUT-28May2020-NSE,125,4690.96,586370,4692.77,586596.25,226.25,0.04%,0,0,0,0,0,0,226.25,0.04%,,%,FnO
BAJAJFINSV-FUT-30Apr2020-NSE,250,4941,1235250,5018.59,1254647.5,19397.5,1.57%,0,0,0,0,0,0,19397.5,1.57%,,%,FnO
BAJAJFINSV-OPT-25Feb2021-CE-10000-NSE,6000,344.8,2068780,353.55,2121326.25,52546.25,2.54%,0,0,0,0,0,0,52546.25,2.54%,,%,FnO
BAJAJFINSV-OPT-25Feb2021-CE-10500-NSE,2000,300.39,600780,292.46,584925,-15855,-2.71%,0,0,0,0,0,0,-15855,-2.64%,,%,FnO
BAJAJFINSV-OPT-25Feb2021-CE-11000-NSE,2875,143.36,412160,96.49,277402.5,-134757.5,-50.89%,0,0,0,0,0,0,-134757.5,-32.70%,,%,FnO
BAJFINANCE-FUT-25Jun2020-NSE,1500,2439.55,3659317.5,2476.85,3715275,55957.5,1.53%,0,0,0,0,0,0,55957.5,1.53%,,%,FnO
BAJFINANCE-FUT-27Aug2020-NSE,1000,3264.49,3264490,3276.26,3276260,11770,0.36%,0,0,0,0,0,0,11770,0.36%,,%,FnO
