ScriptName,ISIN,BuyQty,BuyRate,BuyVal,SellQty,SellRate,SellVal,LTPRate,LTPVal,NetRealizedPnL,IncomeTax
HDFCBANK25Jan2023PE1610.00,NSE-F&O,5500,21.04536,115749.48,5500,23.940113,131670.6215,0,0,15921.1415,4776.34
HDFCBANK26May2022CE1380.00,NSE-F&O,4950,0.882768,4369.7016,4950,11.954273,59173.65135,0,0,54803.94975,16441.18
HDFCBANK26May2022PE1280.00,NSE-F&O,4950,1.082901,5360.35995,4950,20.89419,103426.2405,0,0,98065.88055,29419.76
HDFCBANK27Oct2022,NSE-F&O,5500,1411.314775,7762231.263,5500,1404.608902,7725348.961,0,0,-36882.3015,0
HDFCBANK27Oct2022CE1420.00,NSE-F&O,5500,36.155913,198857.5215,5500,53.807065,295938.8575,0,0,97081.336,29124.4
HDFCBANK27Oct2022CE1480.00,NSE-F&O,5500,17.783856,97811.208,5500,11.954273,65748.5015,0,0,-32062.7065,0
HDFCBANK27Oct2022PE1420.00,NSE-F&O,5500,4.535162,24943.391,5500,18.846498,103655.739,0,0,78712.348,23613.7
HDFCBANK28Apr2022CE1380.00,NSE-F&O,10450,2.757698,28817.9441,10450,8.618559526,90063.94705,0,0,61246.00295,18373.8
HDFCBANK28Apr2022CE1460.00,NSE-F&O,5500,3.684605,20265.3275,5500,5.161931,28390.6205,0,0,8125.293,2437.59
HDFCBANK28Apr2022CE1570.00,NSE-F&O,5500,1.132933,6231.1315,5500,25.439064,139914.852,0,0,133683.7205,40105.12
HDFCBANK28Apr2022PE1360.00,NSE-F&O,5500,16.14278,88785.29,5500,18.846498,103655.739,0,0,14870.449,4461.13
HDFCBANK28Apr2022PE1380.00,NSE-F&O,5500,14.541729,79979.5095,5500,16.4492,90470.6,0,0,10491.0905,3147.33
HDFCBANK28Apr2022PE1500.00,NSE-F&O,5500,122.112313,671617.7215,5500,28.136022,154748.121,0,0,-516869.6005,0
HDFCBANK28Jul2022,NSE-F&O,16500,1380.165464,22772730.15,16500,1378.955989,22752773.82,0,0,-19956.3265,0
HDFCBANK28Jul2022CE1380.00,NSE-F&O,5500,18.144095,99792.5225,5500,10.705678,58881.229,0,0,-40911.2935,0
HDFCBANK28Jul2022CE1440.00,NSE-F&O,11000,7.43446,81779.06,11000,11.9117135,131028.8485,0,0,49249.7885,14774.94
HDFCBANK29Dec2022CE1640.00,NSE-F&O,5500,23.9479,131713.45,5500,17.248222,94865.221,0,0,-36848.229,0
