Date,Nifty,ADANIENT,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BOSCHLTD,BPCL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFC,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,IBULHSGFIN,ICICIBANK,INDUSINDBK,INFY,IOC,ITC,JSWSTEEL,KOTAKBANK,LT,LUPIN,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHREECEM,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,UPL,VEDL,WIPRO,YESBANK,ZEEL
01-01-2018,,89.17182159,387.6716919,234.5602875,1182.671509,1098.032959,658.9620972,563.9401855,2725.34375,515.9939575,1699.45459,470.917511,18610.94922,357.3192749,2101.571289,597.255249,160.8153381,1058.684692,2275.475098,2674.030762,97.51585388,1113.421021,385.5910034,1543.573975,889.0521851,384.4265747,3078.664063,262.3057861,287.1944885,1230.067627,1013.17749,301.3231506,1564.993286,443.4248352,87.44397736,213.3171539,227.6852112,997.8049927,1150.699951,856.4038696,710.0403442,9150.264648,7191.830566,108.8634262,139.9210663,112.5178528,881.9182129,690.258728,293.9035339,17525.83594,546.8529053,296.9266357,424.4500122,27.03736305,1175.501587,431.9801331,826.8928223,4175.96582,475.3045349,137.7732544,231.6130524,301.8462524,555.3571167
02-01-2018,10442.2002,88.01722717,385.4891663,234.6477661,1172.246704,1097.168701,646.8706665,557.9567261,2729.900879,508.9351501,1698.469849,460.7926025,18544.98438,351.1368103,2065.113037,593.6414185,162.8658447,1041.201294,2280.254883,2564.629883,96.67495728,1109.138672,391.7782593,1561.450562,897.6094971,390.1981506,3074.352783,263.0313416,282.0926514,1224.669922,984.3994141,300.740509,1584.364746,441.7730408,86.64790344,212.0566101,226.6144714,1001.047974,1140.705444,848.5501099,717.9069214,9057.5,7192.149902,110.3124771,143.1944733,112.8269577,883.2753296,676.0489502,290.2189636,17595.5332,545.0429077,295.2659912,439.2999878,27.30316925,1169.103271,441.2963257,819.8117676,4172.285645,486.4363708,138.7469025,233.186142,300.928894,554.3502808
03-01-2018,10443.2002,94.62255859,395.4319458,238.5418243,1157.052124,1096.352661,641.234314,558.9040527,2685.407227,508.7705994,1689.261719,462.2644958,18517.89844,347.6943054,2076.156738,592.6646729,163.951416,1059.021851,2213.812256,2577.528809,95.84382629,1097.118164,393.7529602,1559.20459,888.1653442,380.4801941,3083.673096,267.4813538,285.2509155,1235.4198,986.1461792,305.887146,1571.161377,438.1691284,86.62548828,212.3819275,230.1693726,997.9545288,1164.026245,852.2344971,719.8138428,8927.192383,7188.995605,109.1717377,140.7212067,113.3327866,886.8135986,681.3776855,289.8361816,17692.49805,542.0898438,295.313446,433.8999939,27.51468658,1172.412964,446.0188599,830.6274414,4221.001953,487.9143066,140.7577515,226.7839813,304.984436,555.8844604
04-01-2018,10504.7998,98.43537903,397.565979,239.2856445,1140.92334,1125.300049,643.8838501,558.3556519,2704.795654,505.0890808,1727.374146,466.5464172,18480.00586,345.3055725,2051.96167,602.3829956,167.5398102,1065.90918,2281.769287,2555.737793,97.13451385,1139.067871,391.9100037,1561.404541,891.6409302,393.6512146,3070.287598,270.6736755,290.7345276,1237.158203,984.7321777,305.5958862,1586.918701,435.6379089,86.84973145,212.7072144,237.4076843,998.2540283,1200.901001,851.4588013,720.862854,8898.420898,7197.36377,109.2025604,145.1221771,112.6021652,892.1453857,692.3309326,295.2433777,17574.02344,553.6641235,296.3098145,429.9500122,28.46185493,1180.611084,448.6805725,866.130127,4263.731934,491.5934448,143.5517426,228.027832,306.1914368,556.1241455
05-01-2018,10558.84961,103.7250061,411.0978699,239.6794281,1176.525024,1137.973389,646.6296387,561.6963501,2717.555664,511.539093,1786.955811,481.7113647,18518.08984,342.6358337,2059.812744,600.8201904,168.1127777,1066.96875,2341.018799,2615.336182,96.68473053,1181.796387,394.9597473,1581.572998,893.4147339,401.5440063,3075.01001,267.384552,288.0621643,1241.092285,997.2081299,303.8479004,1636.648438,434.1791687,86.07607269,213.80513,244.2176666,1000.898254,1200.170898,872.7901611,721.1964722,8943.545898,7185.931152,109.4492035,144.3583679,113.1079712,895.005188,692.6763306,293.1857605,18537.99805,551.3302612,296.9740906,431.6000061,28.85308075,1194.873901,451.1706848,882.4264526,4313.085938,486.90802,143.742218,226.4912872,321.3996277,562.6920776
08-01-2018,10623.59961,105.4971619,410.224884,240.2919159,1161.182739,1134.853149,652.6033325,563.8903198,2714.158691,520.9225464,1808.966553,460.6142273,18805.08008,349.3101501,2081.833984,600.7225342,173.3596954,1075.20459,2344.047852,2611.793701,97.27140808,1170.895264,395.1572571,1596.011719,891.9765625,416.4415894,3109.581055,267.1427307,292.3309937,1251.933472,1019.12439,305.0617676,1657.562012,444.497406,87.13002777,216.0009308,244.9885864,1003.941711,1221.483643,895.2365723,724.581543,8957.861328,7263.124512,109.5417023,143.594574,112.7145615,900.1430664,694.8473511,292.6593628,18938.63086,563.5714111,301.3866882,433.5499878,28.7800808,1206.070801,460.486908,898.3348389,4342.030762,493.2915955,144.038559,227.6619873,322.1237793,569.4519653
09-01-2018,10637,105.2017975,408.4788208,242.5233459,1152.970581,1145.462402,648.5566406,563.7407227,2687.437256,514.4524536,1791.879883,454.7712708,18646.86719,348.5373535,2058.859375,601.2597046,183.3710632,1049.292725,2326.253906,2558.081787,97.96564484,1204.474487,392.2390137,1590.603271,893.4627075,429.6619263,3078.95166,262.6443787,289.6239014,1245.437866,1012.05481,303.5566101,1662.525391,446.7712708,87.99337006,220.0265503,243.2753754,1007.583923,1216.463379,895.1880493,727.0130005,8895.862305,7115.047363,108.955925,143.3036194,112.9674454,912.1636963,707.7741699,291.2238464,18993.12695,558.7130127,299.2041016,437.5499878,28.91297913,1203.671387,458.3831482,904.9794312,4343.552246,497.2222595,142.9590759,232.0886536,329.6072083,556.1721191
10-01-2018,10632.2002,106.7591629,410.7583923,241.6045227,1152.774048,1130.436768,648.1230469,561.2476196,2657.526123,518.7575684,1774.842529,451.7382202,18629.04883,347.2727051,2073.406982,605.3131104,185.9342499,1039.660156,2295.966309,2513.404541,97.0171814,1202.527832,401.8931274,1582.718872,893.7023315,423.495697,3068.645752,260.0324402,294.690979,1249.555054,1001.574646,302.973938,1671.247314,451.4476929,87.35427094,219.0912781,242.2474823,1000.099976,1208.248657,897.6605225,724.5338745,8888.561523,7176.693359,107.2602234,143.9582977,112.3211365,913.520874,702.1988525,288.1613464,19063.21289,557.3794556,298.0653992,433.2999878,28.93356895,1247.037231,465.46698,890.0895996,4320.34668,489.8325195,141.7313995,239.0395966,328.1104736,556.6035156
11-01-2018,10651.2002,108.3165131,412.7469482,237.7980042,1153.02002,1141.525879,649.9054565,557.2088013,2645.926514,513.4547729,1753.324097,459.1869202,18764.03125,345.9378967,2094.163818,598.0854492,185.8135986,1061.092896,2295.541016,2544.462402,96.89983368,1210.800903,402.3538818,1596.378418,897.7054443,440.711792,3042.983643,259.0166931,292.1921692,1261.311523,1021.910645,300.5462952,1638.672607,461.5513916,87.20850372,219.4165649,242.0333252,1015.467041,1208.066162,900.9572144,731.0177612,8854.384766,7201.981934,106.9827499,143.9582977,111.1970901,909.0615234,694.5019531,289.2141113,19096.74609,560.0944214,297.3062134,434.75,28.86244392,1239.883911,473.7099304,879.7104492,4323.191406,494.4550476,141.3504028,234.9421997,331.3452759,556.1241455
12-01-2018,10681.25,107.3767319,410.6128845,235.7416382,1144.119629,1142.246094,642.6795654,553.5687866,2630.970703,504.5653076,1743.229858,454.5482483,18591.85547,344.1815186,2088.287109,597.8412476,186.3564148,1053.627441,2316.647217,2562.804932,98.00475311,1189.047607,406.3031921,1614.346436,894.2297363,449.8377991,3027.956543,260.0808411,295.6281128,1257.056885,1018.542236,308.5090942,1643.443115,462.6882324,87.24214935,217.5867462,245.6738892,1021.154663,1213.17749,891.1641846,731.8283081,8967.532227,7124.194824,106.3661423,146.0314484,110.3540421,919.9674072,692.4790039,289.2619324,18447.87109,555.8075562,309.1206665,437.1000061,28.83623314,1233.596924,472.894165,876.7033081,4322.603027,487.6312561,143.742218,233.2592926,329.1726685,566.6713257
15-01-2018,10741.5498,106.4369507,407.9938354,242.3483429,1159.953491,1156.023682,633.960144,559.0037842,2623.223633,499.8811035,1711.764771,450.043335,18716.02734,342.2846069,2093.4104,596.0344238,184.4868011,1038.744873,2301.598145,2503.028076,95.67758942,1209.681641,398.9968262,1715.418335,909.786377,468.484436,2979.876465,258.0009766,295.7322083,1250.835449,1018.999512,319.7734985,1621.421265,463.8467407,87.6457901,217.6274109,244.132019,1036.122437,1210.256714,888.6915894,723.9141235,8872.066406,7095.567383,106.6436157,143.012619,112.0120316,920.112854,707.2807617,289.5968933,18652.36719,549.1392212,306.5110779,432.3500061,29.33227921,1220.155884,466.883667,890.7200928,4435.095703,487.0023499,143.5940552,230.4789429,324.4412231,581.1976929
16-01-2018,10700.4502,104.503685,410.8553772,243.1358948,1128.23645,1141.334106,617.6776123,561.6464844,2618.293701,494.5384216,1661.73584,443.5759583,18674.04297,336.8398132,2074.560059,587.3905029,175.8625641,1052.615967,2336.570068,2494.950439,93.55577087,1196.201416,416.5496521,1692.270508,910.9368896,476.1798706,2944.8125,252.0515747,284.8691406,1264.375854,1002.156982,324.4346313,1604.266357,481.7372131,86.14335632,212.8292236,240.8769073,1031.033447,1210.484863,879.1895752,711.9950562,8837.557617,7110.793945,106.8286209,143.4490814,110.2697449,894.7143555,691.5908203,283.4240417,18674.60547,550.3300171,300.2479553,421.8999939,28.66777039,1266.69873,478.8187561,862.7351074,4459.57666,482.2854919,139.7629089,242.8809052,323.3308105,588.149231
17-01-2018,10788.5498,109.8470078,420.4101563,242.5233459,1107.091919,1146.134644,633.2376099,583.5858154,2646.547607,495.3465271,1675.37561,445.9398804,18763.60742,337.1208801,2106.693848,593.0065918,175.4705505,1066.872437,2358.481445,2524.617432,93.97622681,1214.694336,418.129364,1703.637939,906.31073,471.9868469,2929.004639,254.1797943,291.7409668,1254.495361,1005.858337,333.3199158,1597.37561,494.2864075,86.12093353,216.3668671,244.1748352,1024.896729,1235.265869,891.4065552,710.7077026,8829.831055,7099.179199,107.4452209,142.3579254,110.944191,896.21698,695.9327393,293.9035339,18548.26172,556.0933838,297.5434265,422.9500122,28.97662163,1283.627319,476.4575195,866.3241577,4458.741699,491.0274353,141.7737274,238.3079224,330.6210632,568.6849365
