TargetRationChanging,,,,,,,,,,
date,AXISBANK,HDFC,HDFCBANK,ICICIBANK,INFY,ITC,KOTAKBANK,LT,RELIANCE,TCS
31-12-2015,-0.043245883,0,0.097425198,2.313150619,-2.500236477,-0.545173716,0,0,0,-1.723591535
31-01-2016,4.361664568,2.80984535,0.264808855,0,3.185873118,0.380412242,-1.682474948,0,0,2.005648988
29-02-2016,-6.923108758,-0.283317233,-0.399873211,0,0.329812394,-1.420990266,-1.691857074,0.858180334,-2.806770141,-0.106202298
31-03-2016,0,2.122034646,1.376211776,-2.07516079,-4.078827622,1.361293565,0,-1.646828962,-0.379987128,-1.097602357
30-04-2016,6.269333253,0,0,1.428386756,0.055009629,2.460808414,-3.372800687,-3.428329432,-2.350275968,-2.754237617
31-05-2016,0,-4.446824664,0,7.035063195,-1.369860314,0,1.721105558,18.76812596,-2.382150593,-3.8709017
30-06-2016,1.348779494,0.020369917,-0.550824019,-1.437202545,-3.944249035,-3.366058834,-0.9909641,-4.08506642,3.913354028,5.651425879
31-07-2016,-3.943050596,0.897415461,-1.302530131,1.537619033,0,0.655976748,2.204932328,0,0.870765914,-3.035402183
31-08-2016,-0.514226924,-1.787996054,-2.434890019,0,0.750811869,-0.239202704,-3.995041333,-1.609853648,-2.522440999,-2.107716927
30-09-2016,-1.303559691,-3.519601065,0,-4.171656839,-1.391550226,-1.608219629,-0.691845409,1.99905018,-1.767798326,0
31-10-2016,0,-6.076680984,-1.90997755,-0.251862009,0.781086021,-0.083698243,2.347533992,0.803417255,0,0.892637752
30-11-2016,0.758226873,4.115388344,-1.031147802,0,0.730875436,-2.447551131,-1.129065258,-1.513328556,-0.713046437,2.508830348
31-12-2016,0.235344705,-4.734189353,0,-2.410089991,-2.968854268,0.043016923,-2.511193243,0.430016498,0,4.116779032
31-01-2017,1.658906604,0,3.263148185,-1.820088636,-2.173363799,-1.297902429,-8.522690168,0.125911181,0,-1.40702441
28-02-2017,7.615627828,0,0,0.189504139,-3.086167057,-0.783146057,0,2.477497977,-1.352907566,-2.07677599
31-03-2017,-2.611930748,-2.095612198,0,0,-0.111777659,-1.440922159,0,-0.74138872,3.954662708,-1.62243262
30-04-2017,-1.700251817,1.577022422,0.024329203,-0.712254535,0,5.836470229,0,0,-1.420920296,0
31-05-2017,-1.328049991,1.511627321,-2.684385579,-5.492482884,-0.362567627,-0.69842841,0,1.343272365,0,0
30-06-2017,-0.634594675,-2.138373324,0,-0.461619438,-0.20074245,5.527824112,0,-0.99763701,-0.938465263,-6.9983218
31-07-2017,3.375505589,1.171646145,0.548825857,-0.765608195,2.348270499,0,-1.248948313,-0.815589407,-3.58655755,1.020909527
31-08-2017,-1.372434287,-0.287894055,1.319475796,-2.280235875,0.309379516,0,0.726851099,-1.113398551,-0.172287206,0
30-09-2017,-0.128072737,-1.112285205,2.896391133,-1.499064886,0,-1.356632584,-1.144402259,1.848415219,-0.201850807,-2.076197434
31-10-2017,0.274322276,-0.033527696,3.952597198,0,-2.627416324,0,0,0,-0.863611156,2.741311562
30-11-2017,-1.822089412,0,-0.371530423,-4.255319149,-3.196086887,0,0.748913571,0.400272167,-1.848972313,-0.895165062
31-12-2017,3.13339265,0.62792099,1.129814042,-3.586248955,1.692675309,0.037996238,1.630520099,1.847873593,5.015495584,0.03608757
31-01-2018,5.534468069,-5.109774734,-0.325422817,0,-0.287510545,0.055838776,2.03409332,-1.632095722,4.016401874,-3.396706404
28-02-2018,0.388523127,3.352124739,1.648453867,7.397341379,0.201548827,1.22290837,0.569550372,-1.941601308,-3.072307783,0
31-03-2018,0.632500041,0,0.516751576,0,0,-0.721567688,0.052938653,-2.32668187,-0.63651675,-1.670247867
30-04-2018,-4.758149732,1.621752471,-1.030217504,0,0.266497808,3.17656365,-1.117941086,-1.09578923,2.544897057,0
31-05-2018,0,1.484225201,0.523413344,3.75104925,0,-0.92778543,0,-0.294553558,-0.975809408,-2.370689394
30-06-2018,-1.145137979,0.225025046,0.991463287,-0.994625812,0,0,-0.379156374,0.764757351,6.445028538,-0.318217205
31-07-2018,3.170734759,-2.276961746,-2.456532201,3.665398857,0,1.324966719,0,-1.22764697,-4.940482741,0
31-08-2018,0.385210583,0,0,0,-0.172146775,-1.610762539,-3.119406891,-1.029070042,0,-1.001072991
30-09-2018,0.196793641,-6.367797788,0,-0.656524073,2.105766928,0.114082828,0,0,0.557497814,0
31-10-2018,0.721759844,2.39663317,-0.308619968,-2.329659375,0,4.491417353,-0.640542917,-6.256347241,8.228087425,0
30-11-2018,-1.88679454,0,-0.541921042,-1.072425098,0.401762358,0,-0.703433264,0,-3.571757192,0.515768274
31-12-2018,4.567937382,1.089090002,-0.65449891,2.195217955,1.568770522,-0.544811175,0,-1.312067821,-0.699579071,-4.092840154
31-01-2019,-2.880896921,0.304557316,-0.540067229,-0.39627814,0.314824475,1.276423285,-3.546225299,1.76056338,0,0
28-02-2019,0,0,0.437957375,0,-5.933824347,-0.418636274,0,0.319122194,-7.961859585,7.029604101
31-03-2019,0.036993283,1.81171424,-1.557923678,-1.947058797,0,3.849967799,4.428864447,-1.998468308,-2.554990759,0.040138037
30-04-2019,-0.334038348,0.984905802,-1.900559204,-1.782155731,6.527015558,3.517854503,0.312586847,-0.7764955,-0.493760583,1.017032226
31-05-2019,1.371281004,-0.786036375,2.978735074,-1.661739271,-0.315192278,0,0,-1.832810228,-3.529204385,4.222912763
30-06-2019,1.156171276,0,1.650064035,0,4.33360405,0,0.017640029,0,-1.727015639,0
31-07-2019,-1.6992347,0,-0.148242983,-3.271198101,-0.095630083,-0.018303842,-1.267795834,2.722408126,-1.364836899,-4.540470229
31-08-2019,3.192032712,-5.640933434,0.52436162,1.688330453,-3.108542001,0,0,-1.849536277,0,0
30-09-2019,-2.599381635,-1.728483976,8.950540156,0,0,-2.459850834,-0.445187835,2.225366549,7.942689877,-2.6947426
31-10-2019,-2.033852664,-0.280740511,-4.063031738,4.565371859,-4.636012597,5.796873818,-2.305514056,0,-3.163610068,0
30-11-2019,4.953158555,0,-1.687724411,0,2.124083339,2.552780766,0,-0.800763217,0,4.059075747
31-12-2019,-1.597535058,0,-1.499250029,0,1.332273256,-2.22717152,2.53830728,0,3.896145548,0
31-01-2020,-0.37692507,-1.342441724,-0.276882483,-0.804525421,1.456949598,-0.301551291,-0.61150752,-0.825575719,-2.915245733,1.562573327
29-02-2020,3.411009794,-2.180683341,0.953214517,2.070762498,-1.669751682,0,-2.44325116,-3.761349317,4.680510563,-1.969747741
31-03-2020,-1.346139805,3.53847837,6.413355908,8.088255982,3.676325273,-10.8889687,9.776396957,1.233613302,-5.056808616,2.475831136
30-04-2020,11.40475899,0,6.966201781,22.79702876,-2.163994181,0,13.14402633,10.97010523,-4.053318306,11.52973124
31-05-2020,-6.147345944,-0.481433466,3.834550632,-5.295073079,-1.365594781,-4.0571698,0,5.905836116,0,-2.273503853
30-06-2020,13.35523688,-3.236939076,-3.231765793,2.522068053,-3.995281788,4.292508995,3.109896479,-1.245348088,4.098402057,0.092899372
31-07-2020,5.042930899,0,-1.047174344,0.659400549,-3.395965232,-1.146204771,1.039790352,0,0,3.989112993
31-08-2020,-2.556445025,0,-3.299305236,6.680915159,0,3.275059865,0.067457986,-4.311662249,-1.249237382,1.389495596
30-09-2020,-5.259035399,1.220224398,2.993552216,1.603993953,2.192238791,-2.802751391,2.001142131,-2.413105894,0,-7.178131324
31-10-2020,-1.744906024,-8.363679955,-2.574297677,-3.85955338,-8.394445111,0,3.504778918,0,-4.563289456,0
30-11-2020,0,0,0,0,-0.909260427,-1.110180135,-7.673459149,-3.35473254,0,2.015081792
31-12-2020,-3.303376191,-2.884960639,-2.484577016,-4.730604636,0,0,-1.392008188,0,0,1.427825853
31-01-2021,-0.969453243,0,1.152811741,9.453726522,-3.324506701,1.230927856,1.688090791,0,5.29859936,3.797488301
28-02-2021,-3.182327014,-1.833396014,3.364175101,-2.687695317,-1.481143968,-5.391822126,6.86486309,0,4.122975248,-0.89993087
31-03-2021,4.105371194,3.581715798,-0.432,-3.583288127,-2.959747435,0,4.40010375,1.542639497,1.452957047,3.449363773
30-04-2021,0,-0.759740675,-0.782705866,-3.710845324,0.132283581,2.218412042,-4.56072162,0.418363397,0,-2.334910027
31-05-2021,3.262213821,-1.303696759,0.128462923,0,0.606168658,1.199436961,-2.964100045,-0.122873177,5.251059536,-1.427785375
30-06-2021,-1.286256569,0,0,-1.089155106,-1.698473192,-2.036036026,0.329158846,1.644211927,-3.213788614,-0.355531305
31-07-2021,-4.747727271,0.034255342,0.427104462,-0.677671821,0,0.533853961,0,-2.931965178,-0.892416785,-1.545192501
31-08-2021,0,0,1.04207183,-1.839706815,0,1.38294352,-0.09828148,2.768799445,0.42558086,0
30-09-2021,0.391817185,-3.865178628,-1.908799594,0,2.42083804,1.622389986,3.583090719,-1.576911315,0,-2.082098088
31-10-2021,0,0,0.230937121,0,-0.203736793,-10.41463612,11.97034242,1.214339372,2.27726954,6.353456504
30-11-2021,0,-2.88085676,0,-4.449019387,0.25648441,-1.720111745,7.995057553,0,0,0.497742874
31-12-2021,0.250485676,-1.388987795,0.281620777,-0.079635727,0,1.925220264,-0.426290474,5.70998683,-1.464959426,0
31-01-2022,1.247764812,0,6.10993445,0,-5.857238233,0,1.711626252,3.343405337,0.54036804,1.620628072
28-02-2022,-2.064502821,0,0,0,0,0.660741385,-2.086008579,4.142195662,4.856304329,4.045845821
31-03-2022,-1.425812783,0,8.896042739,-2.082050882,-1.730830153,2.328669747,0.629547403,0,0,-1.223703288
30-04-2022,0,-2.589531,7.582643951,0.026963091,0,0,1.879772612,0.577709571,0,-3.424822922
31-05-2022,0.450381468,-0.352766145,-0.840332356,-0.323463587,2.26628411,0,0,4.43137963,1.880388441,-0.36415544
30-06-2022,-1.778416798,0.319483614,0,2.293581716,-2.324613182,0,0,-2.688415126,0,0.856229978
31-07-2022,-4.83422908,1.185713959,0,0,2.886099691,0,3.373608622,0.55914115,-6.644960861,-0.603472594
31-08-2022,2.288117132,7.206939483,7.078607989,0,-0.929511104,0.287705757,0.158502762,-0.116638185,0.777314655,-2.345445045
30-09-2022,10.74794747,-1.41971526,2.812178772,0,0,0,-3.403656198,-1.941718767,-0.44092631,0
31-10-2022,2.880413283,1.976642757,0,6.344747991,-3.543331187,0,-2.098144647,-4.896043941,1.215813548,-4.045307377
30-11-2022,3.217664215,0,1.063933625,-2.136930967,-1.702940009,0,0.482290114,-1.635828158,3.436351918,-3.495700495
31-12-2022,-1.411689742,-1.349442717,0,2.734597433,-3.138596724,2.364166753,-2.138303914,0,3.428191466,-3.717298172
31-01-2023,-1.992031846,0.691752914,0.194428973,-0.371215754,-1.453129068,1.334883213,0,-0.038328445,2.159404897,-3.375314122
28-02-2023,0,-3.350008058,-0.409546374,1.15188844,0,-4.066246359,-0.27892266,3.360568491,3.401432924,0
31-03-2023,-0.851618913,1.478343526,0.802768373,0,0,0,-5.448685109,1.006339977,-5.63156353,-1.897687359
30-04-2023,-0.011773788,0,0,0,-1.197519253,2.484473669,0,-0.002556263,0.223073339,0
