date,PnLPercent,equity,profits,peakEquity,drawDown,drawDownFromPeak
2012-02-29,-2.52592354647738,97.47407645352261,0.0,100.0,0.0,0.0
2012-03-26,-0.44751790172550343,97.0378625118515,-0.43621394167111305,100.0,-0.43621394167111305,-0.436213941671113
2012-05-28,-1.6382004608943832,95.44818780094029,-1.5896747109112113,100.0,-2.0258886525823243,-2.0258886525823243
2012-06-01,-2.8814769697601794,92.69787025140275,-2.7503175495375416,100.0,-4.776206202119866,-4.776206202119866
2012-06-15,-1.0706022691220582,91.7054447490634,-0.9924255023393442,100.0,-5.76863170445921,-5.76863170445921
2012-09-07,-0.6645833825400526,91.09598560237669,-0.6094591466867172,100.0,-6.378090851145927,-6.378090851145927
2012-12-28,0.841381298593012,91.86245018900406,0.7664645866273787,100.0,-5.611626264518549,-5.611626264518549
2013-01-04,0.1105216662220496,91.96397809958536,0.10152791058129651,100.0,-5.510098353937252,-5.510098353937252
2013-03-19,-1.2277191619264352,90.83491871838693,-1.1290593811984309,100.0,-6.639157735135683,-6.639157735135683
2013-05-29,0.3715161165587535,91.17238508088877,0.3374663625018428,100.0,-6.30169137263384,-6.30169137263384
2013-06-14,1.5188540036399352,92.55716050190387,1.3847754210150924,100.0,-4.916915951618748,-4.916915951618748
2014-01-02,-1.329124564155711,91.32696054578803,-1.2301999561158397,100.0,-6.147115907734587,-6.147115907734587
2014-04-16,1.8190440577398985,92.98823819471065,1.6612776489226206,100.0,-4.485838258811967,-4.485838258811967
2014-04-21,-0.3130652513961356,92.69712433303754,-0.2911138616731108,100.0,-4.776952120485078,-4.776952120485078
2014-05-22,1.6481848426230714,94.22494428584213,1.5278199528045917,100.0,-3.249132167680486,-3.249132167680486
2014-06-13,-0.5298507234902764,93.72569273683528,-0.49925154900684277,100.0,-3.7483837166873286,-3.7483837166873286
2014-11-24,2.9405357918806225,96.48173027794999,2.756037541114708,100.0,-0.9923461755726208,-0.9923461755726208
2015-03-11,2.4109830011558087,98.80788839417237,2.3261581162223735,100.0,0.0,0.0
2015-03-27,-3.788161587020579,95.06488592107816,-3.743002473094208,100.0,-3.743002473094208,-3.7430024730942075
