FromDate,ToDate,NetRealizedPnL,NetUnrealizedPnL,TotalGL
2022-04-01,2022-04-01,0.0,-5374.63,-5374.63
2022-04-04,2022-04-04,63746.61,-878574.91,-814828.3
2022-04-05,2022-04-05,-92895.84,-781426.38,-874322.22
2022-04-06,2022-04-06,-559916.96,-30478.34,-590395.3
2022-04-07,2022-04-07,522360.08,-717516.27,-195156.19
2022-04-08,2022-04-08,79138.13,-623736.96,-544598.83
2022-04-11,2022-04-11,0.0,-359381.96,-359381.96
2022-04-12,2022-04-12,-23613.76,-249335.0,-272948.76
2022-04-13,2022-04-13,83887.71,-245848.05,-161960.34
2022-04-14,2022-04-14,0.0,-245848.05,-245848.05
2022-04-15,2022-04-15,0.0,-245848.05,-245848.05
2022-04-18,2022-04-18,-132253.07,-508491.19,-640744.26
2022-04-19,2022-04-19,-627662.25,-895848.34,-1523510.59
2022-04-20,2022-04-20,-645311.17,332065.86,-313245.31
2022-04-21,2022-04-21,958673.34,-424416.63,534256.71
2022-04-26,2022-04-26,-390409.5,371221.86,-19187.64
2022-04-27,2022-04-27,514673.24,528347.79,1043021.03
2022-04-28,2022-04-28,1015397.5,93203.03,1108600.53
2022-04-29,2022-04-29,53474.11,24928.28,78402.39
2022-05-02,2022-05-02,0.0,17966.95,17966.95
2022-05-03,2022-05-03,0.0,17966.95,17966.95
2022-05-04,2022-05-04,393326.42,-1001988.1,-608661.68
2022-05-05,2022-05-05,-601414.67,-102272.27,-703686.94
2022-05-06,2022-05-06,283191.63,-391621.25,-108429.62
2022-05-09,2022-05-09,154644.84,-460038.35,-305393.51
2022-05-10,2022-05-10,33363.51,-229498.97,-196135.46
2022-05-11,2022-05-11,747395.32,-799030.96,-51635.64
2022-05-12,2022-05-12,748936.0,-1800118.9,-1051182.9
2022-05-13,2022-05-13,-1199738.5,-538509.72,-1738248.22
2022-05-16,2022-05-16,-307022.29,118402.78,-188619.51
2022-05-17,2022-05-17,-342645.15,401259.78,58614.63
