FromDate,ToDate,NetRealizedPnL,NetUnrealizedPnL,TotalGL
08-10-2021,08-10-2021,74109,0,74109
11-10-2021,11-10-2021,-27305,0,-27305
12-10-2021,12-10-2021,115397.5,0,115397.5
13-10-2021,13-10-2021,95552,0,95552
14-10-2021,14-10-2021,-264700.88,0,-264700.88
18-10-2021,18-10-2021,149445,0,149445
19-10-2021,19-10-2021,-16696,0,-16696
20-10-2021,20-10-2021,-272674.5,0,-272674.5
21-10-2021,21-10-2021,248753,0,248753
22-10-2021,22-10-2021,-294394,0,-294394
25-10-2021,25-10-2021,139916,0,139916
26-10-2021,26-10-2021,141567.84,0,141567.84
27-10-2021,27-10-2021,84915.5,0,84915.5
28-10-2021,28-10-2021,-741040,0,-741040
29-10-2021,29-10-2021,149723,0,149723
01-11-2021,01-11-2021,-61744.5,0,-61744.5
02-11-2021,02-11-2021,229706,0,229706
03-11-2021,03-11-2021,1007828,0,1007828
08-11-2021,08-11-2021,-1128162.96,0,-1128162.96
09-11-2021,09-11-2021,5269.75,0,5269.75
10-11-2021,10-11-2021,-55942,0,-55942
11-11-2021,11-11-2021,223306,0,223306
12-11-2021,12-11-2021,-549813,0,-549813
15-11-2021,15-11-2021,-43691.56,0,-43691.56
16-11-2021,16-11-2021,273078.5,0,273078.5
17-11-2021,17-11-2021,99961,0,99961
18-11-2021,18-11-2021,-597173,0,-597173
22-11-2021,22-11-2021,19090,0,19090
23-11-2021,23-11-2021,1736300,0,1736300
25-11-2021,25-11-2021,-2056813.5,0,-2056813.5
26-11-2021,26-11-2021,456453.75,0,456453.75
29-11-2021,29-11-2021,203602,0,203602
30-11-2021,30-11-2021,-103611.25,0,-103611.25
01-12-2021,01-12-2021,-284712.25,0,-284712.25
02-12-2021,02-12-2021,503930.5,0,503930.5
03-12-2021,03-12-2021,142789,0,142789
06-12-2021,06-12-2021,-540036,0,-540036
07-12-2021,07-12-2021,-990847.5,0,-990847.5
08-12-2021,08-12-2021,408943.5,0,408943.5
09-12-2021,09-12-2021,281316.25,0,281316.25
13-12-2021,13-12-2021,11204.5,0,11204.5
14-12-2021,14-12-2021,55575,0,55575
15-12-2021,15-12-2021,-290028,0,-290028
16-12-2021,16-12-2021,206509,0,206509
17-12-2021,17-12-2021,-21974.25,0,-21974.25
20-12-2021,20-12-2021,68850.5,0,68850.5
21-12-2021,21-12-2021,476928,0,476928
22-12-2021,22-12-2021,-616577.5,0,-616577.5
23-12-2021,23-12-2021,333497.5,0,333497.5
24-12-2021,24-12-2021,92721,0,92721
27-12-2021,27-12-2021,-20242,0,-20242
28-12-2021,28-12-2021,324931.5,0,324931.5
29-12-2021,29-12-2021,-668151.5,0,-668151.5
30-12-2021,30-12-2021,366399,0,366399
31-12-2021,31-12-2021,-602164,0,-602164
03-01-2022,03-01-2022,-167994.32,0,-167994.32
04-01-2022,04-01-2022,430441.33,0,430441.33
05-01-2022,05-01-2022,484775.55,0,484775.55
06-01-2022,06-01-2022,-932880.43,0,-932880.43
07-01-2022,07-01-2022,148585.8,0,148585.8
10-01-2022,10-01-2022,81454.52,0,81454.52
11-01-2022,11-01-2022,198604.41,0,198604.41
12-01-2022,12-01-2022,338143.68,0,338143.68
13-01-2022,13-01-2022,435992.04,0,435992.04
14-01-2022,14-01-2022,62904.95,0,62904.95
17-01-2022,17-01-2022,-25258.6,0,-25258.6
18-01-2022,18-01-2022,132299.06,0,132299.06
19-01-2022,19-01-2022,345006.44,0,345006.44
20-01-2022,20-01-2022,318730.53,0,318730.53
21-01-2022,21-01-2022,-116792.79,0,-116792.79
24-01-2022,24-01-2022,-973836.48,0,-973836.48
25-01-2022,25-01-2022,790694.16,0,790694.16
26-01-2022,26-01-2022,0,0,0
27-01-2022,27-01-2022,-1541434.33,0,-1541434.33
28-01-2022,28-01-2022,345192.13,0,345192.13
31-01-2022,31-01-2022,232512.55,0,232512.55
01-02-2022,01-02-2022,-199624.17,0,-199624.17
02-02-2022,02-02-2022,1261714.49,0,1261714.49
03-02-2022,03-02-2022,268994.2,0,268994.2
04-02-2022,04-02-2022,30772.96,0,30772.96
07-02-2022,07-02-2022,128955.72,0,128955.72
08-02-2022,08-02-2022,151212.71,0,151212.71
09-02-2022,09-02-2022,-222789.44,0,-222789.44
10-02-2022,10-02-2022,202852.57,0,202852.57
11-02-2022,11-02-2022,-427010.54,0,-427010.54
14-02-2022,14-02-2022,462245.9,0,462245.9
15-02-2022,15-02-2022,-819639.56,0,-819639.56
16-02-2022,16-02-2022,471796.09,0,471796.09
17-02-2022,17-02-2022,806501.74,0,806501.74
18-02-2022,18-02-2022,83537.66,0,83537.66
21-02-2022,21-02-2022,90581.05,0,90581.05
22-02-2022,22-02-2022,122734.65,0,122734.65
23-02-2022,23-02-2022,580376.8,0,580376.8
24-02-2022,24-02-2022,-596428.37,0,-596428.37
25-02-2022,25-02-2022,357349.76,0,357349.76
28-02-2022,28-02-2022,38422.51,0,38422.51
02-03-2022,02-03-2022,-192396.74,0,-192396.74
03-03-2022,03-03-2022,1016466.96,0,1016466.96
04-03-2022,04-03-2022,124759.8,0,124759.8
07-03-2022,07-03-2022,-100881.19,0,-100881.19
08-03-2022,08-03-2022,-149141.55,0,-149141.55
09-03-2022,09-03-2022,394774.48,0,394774.48
10-03-2022,10-03-2022,-132341.41,0,-132341.41
11-03-2022,11-03-2022,-406439.97,0,-406439.97
