,date,straddle_close,straddle_entryPrice,straddle_hit_status,straddle_minMTM,straddle_maxMTM,straddle_PnL
0,2020-01-01,48.6,62.95,SL_hit,-16.349999999999994,15.299999999999997,-12.590000000000003
1,2020-01-02,0.1,13.0,TGThit,-1.6500000000000004,12.8,10.4
2,2020-01-03,224.1,224.64999999999998,SL_hit,-51.650000000000034,6.5,-44.93000000000001
3,2020-01-06,335.2,276.2,SL_hit,-106.75,0,-55.24000000000001
4,2020-01-07,263.4,167.8,SL_hit,-253.04999999999995,7.550000000000011,-33.56
5,2020-01-08,271.95,269.15,SL_hit,-79.70000000000005,62.349999999999966,-53.829999999999984
6,2020-01-09,0.1,49.85,TGThit,-8.149999999999999,49.550000000000004,39.88
7,2020-01-10,326.35,320.6,squareoff,-43.39999999999998,14.800000000000011,4.0
8,2020-01-13,250.95,272.0,squareoff,-17.299999999999955,35.75,21.900000000000006
9,2020-01-14,167.0,219.55,squareoff,-0.29999999999998295,62.10000000000002,51.0
10,2020-01-15,72.95,116.2,squareoff,-1.6499999999999915,50.95,30.200000000000003
11,2020-01-16,0.1,19.299999999999997,SL_hit,-64.05000000000001,19.15,-3.8599999999999994
12,2020-01-17,285.0,330.9,squareoff,-2.7000000000000455,50.349999999999966,39.75
13,2020-01-20,403.0,251.3,SL_hit,-197.75,5.650000000000034,-50.25999999999999
14,2020-01-21,179.15,227.10000000000002,SL_hit,-46.549999999999955,57.50000000000003,-45.420000000000016
15,2020-01-22,154.85,132.0,SL_hit,-96.19999999999999,16.900000000000006,-26.400000000000006
16,2020-01-23,0.15000000000000002,34.75,TGThit,-5.149999999999999,34.45,27.8
17,2020-01-24,361.05,321.15,SL_hit,-99.50000000000006,7.449999999999989,-64.22999999999996
18,2020-01-27,248.4,263.95000000000005,squareoff,-21.249999999999943,39.55000000000004,29.000000000000057
19,2020-01-28,165.0,230.85,squareoff,-20.349999999999994,66.25,63.99999999999997
20,2020-01-29,54.5,134.55,squareoff,-2.4499999999999886,72.20000000000002,68.45000000000002
21,2020-01-30,0.1,27.900000000000002,SL_hit,-7.9999999999999964,27.700000000000003,-5.580000000000002
22,2020-01-31,686.0,721.25,squareoff,-22.84999999999991,59.799999999999955,12.0
23,2020-02-01,778.45,741.25,squareoff,-37.15000000000009,264.04999999999995,-25.25
24,2020-02-03,241.55,409.15,squareoff,-2.3999999999999773,163.54999999999998,159.34999999999997
25,2020-02-04,286.2,186.9,SL_hit,-176.65,38.20000000000002,-37.379999999999995
26,2020-02-05,108.3,116.44999999999999,SL_hit,-39.900000000000006,51.54999999999998,-23.289999999999992
27,2020-02-06,0.15000000000000002,51.099999999999994,SL_hit,-29.5,50.74999999999999,-10.219999999999999
28,2020-02-07,252.55,327.4,squareoff,-2.900000000000034,65.75,60.14999999999998
29,2020-02-10,189.3,225.65,squareoff,-0.44999999999998863,39.30000000000001,36.95000000000002
30,2020-02-11,95.0,143.25,squareoff,-10.399999999999977,46.95,43.900000000000006
31,2020-02-12,45.2,70.9,squareoff,-2.799999999999983,32.900000000000006,31.0
32,2020-02-13,0.1,20.9,TGThit,-0.6999999999999993,20.75,16.72
33,2020-02-14,391.6,239.64999999999998,SL_hit,-240.5,24.25,-47.93000000000001
34,2020-02-17,211.5,240.89999999999998,SL_hit,-50.200000000000045,27.649999999999977,-48.18000000000001
35,2020-02-18,134.0,173.25,squareoff,-2.1500000000000057,52.25,39.35000000000002
36,2020-02-19,58.8,87.65,SL_hit,-55.79999999999998,27.6,-17.53
37,2020-02-20,0.15000000000000002,23.5,SL_hit,-24.450000000000003,23.25,-4.699999999999999
38,2020-02-24,256.45,244.25,squareoff,-27.100000000000023,33.44999999999999,-17.5
39,2020-02-25,168.25,242.54999999999998,squareoff,-5.400000000000006,74.44999999999999,67.49999999999997
40,2020-02-26,91.9,150.8,squareoff,1.700000000000017,60.85000000000001,57.900000000000006
41,2020-02-27,0.1,37.2,SL_hit,-43.5,36.95,-7.439999999999998
42,2020-02-28,620.85,602.85,squareoff,-83.19999999999993,98.15000000000003,17.100000000000023
43,2020-03-02,517.0,484.54999999999995,SL_hit,-284.9000000000001,110.94999999999993,-96.90999999999997
44,2020-03-03,328.85,350.85,SL_hit,-151.69999999999993,22.700000000000045,-70.17000000000002
45,2020-03-04,216.05,296.75,SL_hit,-346.0,91.20000000000002,-59.349999999999966
46,2020-03-05,0.15000000000000002,94.8,SL_hit,-58.3,94.55,-18.959999999999994
47,2020-03-09,745.8,641.35,SL_hit,-482.9,50.89999999999998,-128.26999999999998
48,2020-03-11,269.35,574.4000000000001,squareoff,2.1000000000001364,308.5000000000001,301.4000000000001
49,2020-03-16,1790.0,1629.8000000000002,squareoff,-268.8499999999999,52.90000000000009,-175.49999999999977
50,2020-03-17,1330.4,1811.05,squareoff,-39.25,569.2,393.4499999999998
51,2020-03-18,1560.0,997.4,SL_hit,-919.4499999999999,103.64999999999998,-199.4799999999999
52,2020-03-20,1653.2,2125.55,squareoff,-178.19999999999982,398.4500000000003,270.9500000000003
53,2020-03-23,1560.0,1846.7,SL_hit,-632.45,128.54999999999995,-369.3399999999999
