,date,straddle_close,straddle_entryPrice,straddle_hit_status,straddle_minMTM,straddle_maxMTM,straddle_PnL
0,2020-01-01,17.55,32.1,squareoff,0.0,13.0,12.55
1,2020-01-02,32.199999999999996,10.4,SL_hit,-24.35,2.5,-2.08
2,2020-01-03,81.9,84.7,squareoff,-7.049999999999997,6.400000000000006,1.0000000000000142
3,2020-01-06,102.25,89.19999999999999,SL_hit,-34.70000000000002,0.04999999999998295,-17.83999999999999
4,2020-01-07,62.8,63.3,SL_hit,-41.05,6.149999999999999,-12.659999999999997
5,2020-01-08,59.400000000000006,78.9,squareoff,-10.5,29.000000000000007,24.400000000000006
6,2020-01-09,0.1,23.8,TGThit,-2.0500000000000007,23.7,19.040000000000003
7,2020-01-10,99.5,104.7,squareoff,-9.749999999999986,5.700000000000003,4.299999999999997
8,2020-01-13,77.55,90.15,squareoff,-2.25,15.800000000000011,13.900000000000006
9,2020-01-14,65.85,64.95,squareoff,-8.5,9.350000000000001,-1.5499999999999972
10,2020-01-15,35.45,40.8,squareoff,-2.0,13.349999999999998,-0.6000000000000014
11,2020-01-16,0.1,16.05,SL_hit,-25.899999999999995,15.9,-3.210000000000001
12,2020-01-17,88.95,94.5,squareoff,-14.25,5.5,2.700000000000003
13,2020-01-20,131.0,70.44999999999999,SL_hit,-72.5,0.8499999999999943,-14.08999999999999
14,2020-01-21,54.1,65.65,squareoff,-2.8499999999999943,12.800000000000011,11.800000000000011
15,2020-01-22,57.05,44.65,SL_hit,-37.050000000000004,4.550000000000004,-8.93
16,2020-01-23,30.3,13.5,SL_hit,-33.3,6.15,-2.6999999999999993
17,2020-01-24,94.75,105.89999999999999,squareoff,-2.500000000000014,10.450000000000003,8.399999999999991
18,2020-01-27,95.95,92.65,squareoff,-3.75,15.25,1.1500000000000057
19,2020-01-28,64.55,78.25,squareoff,-11.349999999999994,14.150000000000006,12.650000000000006
20,2020-01-29,31.2,49.05,SL_hit,-15.650000000000006,17.749999999999996,-9.809999999999995
21,2020-01-30,14.350000000000001,23.05,SL_hit,-22.599999999999998,21.900000000000002,-4.609999999999999
22,2020-01-31,262.6,253.4,squareoff,-36.24999999999997,11.550000000000011,-22.599999999999994
23,2020-02-01,272.3,253.7,squareoff,-19.19999999999999,82.44999999999999,-3.4499999999999886
