SNo,Portfolio Name,Leg ID,Exchange,Exchange Symbol,Product,Order Type,Order ID,Time,Txn,Qty,Filled Qty,Exchg Time,Avg Price,Status,Limit Price,Order Failed,User ID,User Alias,Remarks,Tag
21,BNF_CSL_STRANGS,1361,NFO,BANKNIFTY 04MAY23 43400 CE,MIS,MARKET,2.02E+11,04-May-2023 09.18.18,SELL,75,75,04-May-2023 09.18.18,88.85,COMPLETE,0,FALSE,SIM1,SIMULATED1,,10002295
22,BNF_CSL_STRANGS,1362,NFO,BANKNIFTY 04MAY23 43200 PE,MIS,MARKET,1100041417,04-May-2023 09.18.18,SELL,75,75,01-Jan-0001 00.00.00,63.47,COMPLETE,0,FALSE,ASDE1950,AD1_IIFL,,10002298
23,BNF_CSL_STRANGS,1362,NFO,BANKNIFTY 04MAY23 43200 PE,MIS,MARKET,2.02E+11,04-May-2023 09.18.18,SELL,75,75,04-May-2023 09.18.18,61.45,COMPLETE,0,FALSE,SIM1,SIMULATED1,,10002299
24,BNF_CSL_STRANGS,1362,NFO,BANKNIFTY 04MAY23 43200 PE,MIS,MARKET,2.31E+14,04-May-2023 09.18.18,SELL,75,75,01-Jan-0001 00.00.00,63.8,COMPLETE,0,FALSE,50062865,RKEDEL,,10002300
25,BNF_CSL_STRANGS,1363,NFO,BANKNIFTY 04MAY23 43500 CE,MIS,MARKET,1100041419,04-May-2023 09.18.18,SELL,75,75,01-Jan-0001 00.00.00,50.62,COMPLETE,0,FALSE,ASDE1950,AD1_IIFL,,10002304
26,BNF_CSL_STRANGS,1363,NFO,BANKNIFTY 04MAY23 43500 CE,MIS,MARKET,2.02E+11,04-May-2023 09.18.18,SELL,75,75,04-May-2023 09.18.18,53.55,COMPLETE,0,FALSE,SIM1,SIMULATED1,,10002305
27,BNF_CSL_STRANGS,1363,NFO,BANKNIFTY 04MAY23 43500 CE,MIS,MARKET,2.31E+14,04-May-2023 09.18.18,SELL,75,75,01-Jan-0001 00.00.00,50.35,COMPLETE,0,FALSE,50062865,RKEDEL,,10002306
28,BNF_CSL_STRANGS,1364,NFO,BANKNIFTY 04MAY23 43100 PE,MIS,MARKET,1100041423,04-May-2023 09.18.18,SELL,75,75,01-Jan-0001 00.00.00,39.25,COMPLETE,0,FALSE,ASDE1950,AD1_IIFL,,10002309
29,BNF_CSL_STRANGS,1364,NFO,BANKNIFTY 04MAY23 43100 PE,MIS,MARKET,2.02E+11,04-May-2023 09.18.18,SELL,75,75,04-May-2023 09.18.18,38.05,COMPLETE,0,FALSE,SIM1,SIMULATED1,,10002310
30,BNF_CSL_STRANGS,1364,NFO,BANKNIFTY 04MAY23 43100 PE,MIS,MARKET,2.31E+14,04-May-2023 09.18.18,SELL,75,75,01-Jan-0001 00.00.00,39.4,COMPLETE,0,FALSE,50062865,RKEDEL,,10002311
31,BNF_70PCT,1365,NFO,BANKNIFTY 04MAY23 43300 CE,MIS,MARKET,2.31E+14,04-May-2023 09.18.21,SELL,75,75,01-Jan-0001 00.00.00,132.87,COMPLETE,0,FALSE,50062865,RKEDEL,Stoploss at 225.90 Hit on LTP 226.45 for Leg: BANKNIFTY 04MAY23 43300 CE; ,10002314
32,BNF_70PCT,1365,NFO,BANKNIFTY 04MAY23 43300 CE,MIS,MARKET,2.02E+11,04-May-2023 09.18.21,SELL,75,75,04-May-2023 09.18.21,135.4,COMPLETE,0,FALSE,SIM1,SIMULATED1,Stoploss at 230.20 Hit on LTP 231.7 for Leg: BANKNIFTY 04MAY23 43300 CE; ,10002315
33,BNF_70PCT,1365,NFO,BANKNIFTY 04MAY23 43300 CE,MIS,MARKET,1100041481,04-May-2023 09.18.21,SELL,75,75,01-Jan-0001 00.00.00,132.67,COMPLETE,0,FALSE,ASDE1950,AD1_IIFL,Stoploss at 225.55 Hit on LTP 226.45 for Leg: BANKNIFTY 04MAY23 43300 CE; ,10002316
34,BNF_70PCT,1366,NFO,BANKNIFTY 04MAY23 43300 PE,MIS,MARKET,2.02E+11,04-May-2023 09.18.21,SELL,75,75,04-May-2023 09.18.21,96.5,COMPLETE,0,FALSE,SIM1,SIMULATED1,,10002317
35,BNF_70PCT,1366,NFO,BANKNIFTY 04MAY23 43300 PE,MIS,MARKET,2.31E+14,04-May-2023 09.18.21,SELL,75,75,01-Jan-0001 00.00.00,99.5,COMPLETE,0,FALSE,50062865,RKEDEL,,10002318
36,BNF_70PCT,1366,NFO,BANKNIFTY 04MAY23 43300 PE,MIS,MARKET,1100041493,04-May-2023 09.18.21,SELL,75,75,01-Jan-0001 00.00.00,98.33,COMPLETE,0,FALSE,ASDE1950,AD1_IIFL,,10002319
37,BNF_CP_2RE,1367,NFO,BANKNIFTY 04MAY23 43300 CE,MIS,MARKET,1100041659,04-May-2023 09.18.32,SELL,75,75,01-Jan-0001 00.00.00,130.6,COMPLETE,0,FALSE,ASDE1950,AD1_IIFL,Stoploss at 182.85 Hit on LTP 187.6 for Leg: BANKNIFTY 04MAY23 43300 CE; ,10002324
38,BNF_CP_2RE,1367,NFO,BANKNIFTY 04MAY23 43300 CE,MIS,MARKET,2.31E+14,04-May-2023 09.18.32,SELL,75,75,01-Jan-0001 00.00.00,130.35,COMPLETE,0,FALSE,50062865,RKEDEL,Stoploss at 182.50 Hit on LTP 187.6 for Leg: BANKNIFTY 04MAY23 43300 CE; ,10002325
39,BNF_CP_2RE,1367,NFO,BANKNIFTY 04MAY23 43300 CE,MIS,MARKET,2.02E+11,04-May-2023 09.18.32,SELL,75,75,04-May-2023 09.18.32,132.65,COMPLETE,0,FALSE,SIM1,SIMULATED1,Stoploss at 185.70 Hit on LTP 187.1 for Leg: BANKNIFTY 04MAY23 43300 CE; ,10002326
40,BNF_CP_2RE,1368,NFO,BANKNIFTY 04MAY23 43300 PE,MIS,MARKET,1100041677,04-May-2023 09.18.32,SELL,75,75,01-Jan-0001 00.00.00,99.33,COMPLETE,0,FALSE,ASDE1950,AD1_IIFL,Leg Target hit at 39.75 Hit on LTP 39.3,10002327
41,BNF_CP_2RE,1368,NFO,BANKNIFTY 04MAY23 43300 PE,MIS,MARKET,2.31E+14,04-May-2023 09.18.32,SELL,75,75,01-Jan-0001 00.00.00,99.8,COMPLETE,0,FALSE,50062865,RKEDEL,Leg Target hit at 39.90 Hit on LTP 39.3,10002328
42,BNF_CP_2RE,1368,NFO,BANKNIFTY 04MAY23 43300 PE,MIS,MARKET,2.02E+11,04-May-2023 09.18.32,SELL,75,75,04-May-2023 09.18.33,99.65,COMPLETE,0,FALSE,SIM1,SIMULATED1,Leg Target hit at 39.85 Hit on LTP 39.3,10002330
43,NF_CP_2RE,1369,NFO,NIFTY 04MAY23 18100 CE,MIS,MARKET,2.02E+11,04-May-2023 09.18.38,SELL,150,150,04-May-2023 09.18.39,37.9,COMPLETE,0,FALSE,SIM1,SIMULATED1,Stoploss at 53.05 Hit on LTP 53.75 for Leg: NIFTY 04MAY23 18100 CE; ,10002334
44,NF_CP_2RE,1369,NFO,NIFTY 04MAY23 18100 CE,MIS,MARKET,2.31E+14,04-May-2023 09.18.38,SELL,150,150,01-Jan-0001 00.00.00,37.7,COMPLETE,0,FALSE,50062865,RKEDEL,Stoploss at 52.80 Hit on LTP 53.75 for Leg: NIFTY 04MAY23 18100 CE; ,10002335
45,NF_CP_2RE,1369,NFO,NIFTY 04MAY23 18100 CE,MIS,MARKET,1100041752,04-May-2023 09.18.38,SELL,150,150,01-Jan-0001 00.00.00,37.65,COMPLETE,0,FALSE,ASDE1950,AD1_IIFL,Stoploss at 52.70 Hit on LTP 53.2 for Leg: NIFTY 04MAY23 18100 CE; ,10002336
46,NF_CP_2RE,1370,NFO,NIFTY 04MAY23 18150 PE,MIS,MARKET,2.02E+11,04-May-2023 09.18.38,SELL,150,150,04-May-2023 09.18.39,64.05,COMPLETE,0,FALSE,SIM1,SIMULATED1,Leg Target hit at 25.60 Hit on LTP 25.4,10002338
47,NF_CP_2RE,1370,NFO,NIFTY 04MAY23 18150 PE,MIS,MARKET,1100041758,04-May-2023 09.18.38,SELL,150,150,01-Jan-0001 00.00.00,62.95,COMPLETE,0,FALSE,ASDE1950,AD1_IIFL,Leg Target hit at 25.20 Hit on LTP 25.2,10002340
48,NF_CP_2RE,1370,NFO,NIFTY 04MAY23 18150 PE,MIS,MARKET,2.31E+14,04-May-2023 09.18.38,SELL,150,150,01-Jan-0001 00.00.00,63.25,COMPLETE,0,FALSE,50062865,RKEDEL,Leg Target hit at 25.30 Hit on LTP 25.3,10002339
49,BNF_25PCT_2RE,1371,NFO,BANKNIFTY 04MAY23 43300 CE,MIS,MARKET,1100041796,04-May-2023 09.18.40,SELL,75,75,01-Jan-0001 00.00.00,127.25,COMPLETE,0,FALSE,ASDE1950,AD1_IIFL,Stoploss at 159.05 Hit on LTP 162.55 for Leg: BANKNIFTY 04MAY23 43300 CE; ,10002344
50,BNF_25PCT_2RE,1371,NFO,BANKNIFTY 04MAY23 43300 CE,MIS,MARKET,2.31E+14,04-May-2023 09.18.40,SELL,75,75,01-Jan-0001 00.00.00,128.92,COMPLETE,0,FALSE,50062865,RKEDEL,Stoploss at 161.15 Hit on LTP 161.15 for Leg: BANKNIFTY 04MAY23 43300 CE; ,10002345
51,BNF_25PCT_2RE,1371,NFO,BANKNIFTY 04MAY23 43300 CE,MIS,MARKET,2.02E+11,04-May-2023 09.18.40,SELL,75,75,04-May-2023 09.18.40,128.35,COMPLETE,0,FALSE,SIM1,SIMULATED1,Stoploss at 160.45 Hit on LTP 161.15 for Leg: BANKNIFTY 04MAY23 43300 CE; ,10002346
52,BNF_25PCT_2RE,1372,NFO,BANKNIFTY 04MAY23 43300 PE,MIS,MARKET,1100041775,04-May-2023 09.18.40,SELL,75,75,01-Jan-0001 00.00.00,100.3,COMPLETE,0,FALSE,ASDE1950,AD1_IIFL,,10002347
53,BNF_25PCT_2RE,1372,NFO,BANKNIFTY 04MAY23 43300 PE,MIS,MARKET,2.31E+14,04-May-2023 09.18.40,SELL,75,75,01-Jan-0001 00.00.00,100.75,COMPLETE,0,FALSE,50062865,RKEDEL,,10002348
54,BNF_25PCT_2RE,1372,NFO,BANKNIFTY 04MAY23 43300 PE,MIS,MARKET,2.02E+11,04-May-2023 09.18.40,SELL,75,75,04-May-2023 09.18.40,101.25,COMPLETE,0,FALSE,SIM1,SIMULATED1,,10002349
55,NF_25PCT_2RE,1373,NFO,NIFTY 04MAY23 18100 CE,MIS,MARKET,2.02E+11,04-May-2023 09.18.46,SELL,150,150,04-May-2023 09.18.46,38.7,COMPLETE,0,FALSE,SIM1,SIMULATED1,Stoploss at 48.40 Hit on LTP 48.9 for Leg: NIFTY 04MAY23 18100 CE; ,10002354
56,NF_25PCT_2RE,1373,NFO,NIFTY 04MAY23 18100 CE,MIS,MARKET,1100041857,04-May-2023 09.18.46,SELL,150,150,01-Jan-0001 00.00.00,38.4,COMPLETE,0,FALSE,ASDE1950,AD1_IIFL,Stoploss at 48.00 Hit on LTP 49.95 for Leg: NIFTY 04MAY23 18100 CE; ,10002355
57,NF_25PCT_2RE,1373,NFO,NIFTY 04MAY23 18100 CE,MIS,MARKET,2.31E+14,04-May-2023 09.18.46,SELL,150,150,01-Jan-0001 00.00.00,38.4,COMPLETE,0,FALSE,50062865,RKEDEL,Stoploss at 48.00 Hit on LTP 49.95 for Leg: NIFTY 04MAY23 18100 CE; ,10002356
58,NF_25PCT_2RE,1374,NFO,NIFTY 04MAY23 18100 PE,MIS,MARKET,2.02E+11,04-May-2023 09.18.46,SELL,150,150,04-May-2023 09.18.46,34.85,COMPLETE,0,FALSE,SIM1,SIMULATED1,,10002357
59,NF_25PCT_2RE,1374,NFO,NIFTY 04MAY23 18100 PE,MIS,MARKET,1100041860,04-May-2023 09.18.46,SELL,150,150,01-Jan-0001 00.00.00,33.25,COMPLETE,0,FALSE,ASDE1950,AD1_IIFL,,10002359
60,NF_25PCT_2RE,1374,NFO,NIFTY 04MAY23 18100 PE,MIS,MARKET,2.31E+14,04-May-2023 09.18.46,SELL,150,150,01-Jan-0001 00.00.00,33.62,COMPLETE,0,FALSE,50062865,RKEDEL,,10002360
61,NF_25PCT_2RE,1373,NFO,NIFTY 04MAY23 18100 CE,MIS,MARKET,1100114599,04-May-2023 10.25.40,BUY,150,150,01-Jan-0001 00.00.00,50,COMPLETE,0,FALSE,ASDE1950,AD1_IIFL,,10002364
62,NF_25PCT_2RE,1373,NFO,NIFTY 04MAY23 18100 CE,MIS,MARKET,2.31E+14,04-May-2023 10.25.40,BUY,150,150,01-Jan-0001 00.00.00,49.8,COMPLETE,0,FALSE,50062865,RKEDEL,,10002365
63,NF_25PCT_2RE,1373,NFO,NIFTY 04MAY23 18100 CE,MIS,MARKET,2.02E+11,04-May-2023 10.25.45,BUY,150,150,04-May-2023 10.25.45,49.05,COMPLETE,0,FALSE,SIM1,SIMULATED1,,10002366
64,NF_CP_2RE,1369,NFO,NIFTY 04MAY23 18100 CE,MIS,MARKET,1100124929,04-May-2023 10.43.45,BUY,150,150,01-Jan-0001 00.00.00,52.55,COMPLETE,0,FALSE,ASDE1950,AD1_IIFL,,10002369
65,NF_CP_2RE,1369,NFO,NIFTY 04MAY23 18100 CE,MIS,MARKET,2.02E+11,04-May-2023 10.44.32,BUY,150,150,04-May-2023 10.44.32,53.85,COMPLETE,0,FALSE,SIM1,SIMULATED1,,10002370
66,NF_CP_2RE,1369,NFO,NIFTY 04MAY23 18100 CE,MIS,MARKET,2.31E+14,04-May-2023 10.44.32,BUY,150,150,01-Jan-0001 00.00.00,53.8,COMPLETE,0,FALSE,50062865,RKEDEL,,10002373
67,NF_CP_2RE,1370,NFO,NIFTY 04MAY23 18150 PE,MIS,MARKET,2.02E+11,04-May-2023 10.59.00,BUY,150,150,04-May-2023 10.59.00,25.5,COMPLETE,0,FALSE,SIM1,SIMULATED1,,10002374
68,NF_CP_2RE,1370,NFO,NIFTY 04MAY23 18150 PE,MIS,MARKET,2.31E+14,04-May-2023 10.59.03,BUY,150,150,01-Jan-0001 00.00.00,25.37,COMPLETE,0,FALSE,50062865,RKEDEL,,10002377
69,NF_CP_2RE,1370,NFO,NIFTY 04MAY23 18150 PE,MIS,MARKET,1100134170,04-May-2023 10.59.04,BUY,150,150,01-Jan-0001 00.00.00,25.15,COMPLETE,0,FALSE,ASDE1950,AD1_IIFL,,10002378
70,NF_70PCT,1359,NFO,NIFTY 04MAY23 18100 CE,MIS,MARKET,1100134390,04-May-2023 10.59.06,BUY,150,150,01-Jan-0001 00.00.00,61.35,COMPLETE,0,FALSE,ASDE1950,AD1_IIFL,,10002379
71,NF_70PCT,1359,NFO,NIFTY 04MAY23 18100 CE,MIS,MARKET,2.02E+11,04-May-2023 10.59.11,BUY,150,150,04-May-2023 10.59.11,61.6,COMPLETE,0,FALSE,SIM1,SIMULATED1,,10002380
