open,high,low,close,ATMStrPr,currWeek_exp_dt,nextWeek_exp_dt,farWeek_exp_dt,currMonth_exp_dt,nextMonth_exp_dt,farMonth_exp_dt
39304.75,39314.8,39295.3,39300.35,39300.0,,,,,,
39304.75,39309.5,39289.5,39302.45,39300.0,,,,,,
39304.9,39309.65,39296.0,39303.85,39300.0,,,,,,
39303.3,39306.75,39264.3,39282.95,39300.0,,,,,,
39286.05,39297.55,39279.3,39293.4,39300.0,,,,,,
39288.8,39296.85,39279.65,39291.05,39300.0,,,,,,
39290.5,39291.45,39275.65,39291.45,39300.0,,,,,,
39291.85,39300.55,39278.25,39294.85,39300.0,,,,,,
39294.4,39311.1,39292.3,39309.7,39300.0,,,,,,
39309.8,39330.85,39305.0,39327.3,39300.0,,,,,,
39328.7,39328.7,39251.8,39269.05,39300.0,,,,,,
39271.9,39305.7,39267.0,39302.6,39300.0,,,,,,
39302.5,39314.15,39286.7,39313.45,39300.0,,,,,,
39315.75,39317.1,39303.15,39305.5,39300.0,,,,,,
39304.3,39311.55,39292.4,39310.15,39300.0,,,,,,
39309.55,39320.15,39292.25,39318.4,39300.0,,,,,,
39318.5,39346.45,39318.45,39346.45,39300.0,,,,,,
39347.65,39347.65,39329.35,39335.5,39300.0,,,,,,
39337.3,39339.7,39326.0,39330.25,39300.0,,,,,,
39326.3,39327.65,39314.2,39315.1,39300.0,,,,,,
39319.8,39319.8,39304.7,39312.05,39300.0,,,,,,
39313.0,39330.35,39312.85,39327.25,39300.0,,,,,,
39324.1,39331.85,39312.45,39317.1,39300.0,,,,,,
39315.2,39318.6,39307.75,39313.35,39300.0,,,,,,
39315.5,39324.05,39310.15,39314.05,39300.0,,,,,,
39312.7,39312.7,39298.85,39303.05,39300.0,,,,,,
39303.9,39306.15,39290.25,39298.05,39300.0,,,,,,
39298.15,39301.8,39290.6,39299.7,39300.0,,,,,,
39296.5,39297.8,39288.35,39294.1,39300.0,,,,,,
39292.5,39307.15,39288.45,39299.3,39300.0,,,,,,
39300.45,39304.55,39293.6,39293.95,39300.0,,,,,,
39292.15,39296.85,39278.3,39286.85,39300.0,,,,,,
39284.65,39289.25,39278.65,39287.6,39300.0,,,,,,
39286.4,39288.15,39280.6,39282.5,39300.0,,,,,,
39280.45,39287.45,39270.8,39287.45,39300.0,,,,,,
39284.3,39285.35,39261.7,39267.4,39300.0,,,,,,
39265.65,39280.9,39253.65,39277.75,39300.0,,,,,,
39277.7,39281.4,39262.85,39264.2,39300.0,,,,,,
39263.7,39265.75,39255.3,39255.3,39300.0,,,,,,
39255.6,39256.8,39238.55,39241.95,39200.0,,,,,,
39244.25,39245.7,39222.9,39224.45,39200.0,,,,,,
39225.7,39228.0,39216.4,39219.85,39200.0,,,,,,
39219.25,39260.05,39219.25,39259.7,39300.0,,,,,,
39257.45,39264.4,39246.75,39255.55,39300.0,,,,,,
39255.85,39258.95,39238.6,39253.15,39300.0,,,,,,
39255.25,39272.3,39254.65,39272.1,39300.0,,,,,,
39269.5,39282.35,39267.85,39272.7,39300.0,,,,,,
39269.85,39296.25,39269.85,39296.25,39300.0,,,,,,
39298.0,39308.65,39298.0,39302.5,39300.0,,,,,,
39299.6,39314.35,39296.75,39307.95,39300.0,,,,,,
39309.9,39316.85,39308.9,39310.7,39300.0,,,,,,
39312.2,39313.35,39287.95,39311.0,39300.0,,,,,,
39313.95,39316.75,39297.0,39303.65,39300.0,,,,,,
39308.45,39324.65,39307.8,39321.65,39300.0,,,,,,
39323.25,39325.45,39312.0,39312.8,39300.0,,,,,,
39314.5,39316.8,39301.3,39301.3,39300.0,,,,,,
39299.8,39304.45,39293.15,39300.1,39300.0,,,,,,
39300.75,39307.15,39290.2,39290.2,39300.0,,,,,,
39293.65,39302.15,39289.75,39300.35,39300.0,,,,,,
39301.0,39308.6,39295.65,39307.55,39300.0,,,,,,
39309.7,39326.5,39307.35,39324.55,39300.0,,,,,,
39327.6,39330.2,39311.6,39316.05,39300.0,,,,,,
39318.45,39334.2,39314.65,39314.65,39300.0,,,,,,
39319.2,39319.2,39284.55,39285.9,39300.0,,,,,,
39286.05,39306.35,39282.85,39305.1,39300.0,,,,,,
39306.65,39309.05,39288.5,39294.95,39300.0,,,,,,
39295.1,39307.3,39289.75,39307.3,39300.0,,,,,,
39305.8,39314.15,39304.25,39310.4,39300.0,,,,,,
39310.85,39311.9,39304.0,39305.95,39300.0,,,,,,
39308.6,39312.9,39305.55,39310.65,39300.0,,,,,,
39310.7,39344.1,39310.3,39339.1,39300.0,,,,,,
39339.4,39352.3,39336.3,39341.5,39300.0,,,,,,
39341.45,39350.3,39336.9,39345.45,39300.0,,,,,,
39345.5,39356.15,39344.85,39347.0,39300.0,,,,,,
39348.8,39359.25,39348.8,39357.9,39400.0,,,,,,
39358.25,39365.25,39349.2,39349.2,39300.0,,,,,,
39349.4,39349.4,39327.8,39330.65,39300.0,,,,,,
39330.35,39346.1,39328.3,39338.35,39300.0,,,,,,
39340.85,39340.85,39317.95,39323.15,39300.0,,,,,,
39323.95,39347.9,39323.95,39344.05,39300.0,,,,,,
39348.5,39371.35,39346.3,39371.35,39400.0,,,,,,
39372.6,39376.45,39363.85,39376.15,39400.0,,,,,,
39378.25,39390.2,39377.05,39388.9,39400.0,,,,,,
39389.15,39390.2,39365.25,39365.25,39400.0,,,,,,
39365.0,39378.05,39358.5,39376.9,39400.0,,,,,,
39377.75,39382.3,39375.15,39377.6,39400.0,,,,,,
39378.05,39378.05,39358.55,39361.9,39400.0,,,,,,
39363.75,39388.35,39363.75,39387.6,39400.0,,,,,,
39388.85,39393.05,39378.8,39386.55,39400.0,,,,,,
39387.15,39403.05,39384.4,39403.05,39400.0,,,,,,
39402.35,39404.95,39387.65,39393.85,39400.0,,,,,,
39394.65,39401.7,39386.55,39398.05,39400.0,,,,,,
39400.5,39404.45,39394.3,39394.55,39400.0,,,,,,
39397.35,39402.4,39390.0,39398.2,39400.0,,,,,,
39397.95,39403.75,39394.4,39397.45,39400.0,,,,,,
39401.05,39408.4,39378.0,39383.55,39400.0,,,,,,
39382.25,39403.0,39382.25,39399.1,39400.0,,,,,,
39395.85,39407.0,39395.85,39405.15,39400.0,,,,,,
39406.6,39411.05,39394.85,39400.05,39400.0,,,,,,
39398.0,39406.8,39395.85,39400.4,39400.0,,,,,,
39399.6,39403.55,39387.45,39402.65,39400.0,,,,,,
39398.1,39406.55,39392.4,39393.05,39400.0,,,,,,
39395.0,39398.3,39381.75,39385.9,39400.0,,,,,,
39381.55,39384.8,39361.4,39369.65,39400.0,,,,,,
39369.45,39369.45,39353.35,39359.9,39400.0,,,,,,
39360.2,39366.35,39351.95,39358.3,39400.0,,,,,,
39356.9,39378.25,39356.9,39375.05,39400.0,,,,,,
39377.25,39424.95,39376.25,39424.4,39400.0,,,,,,
39424.45,39427.35,39413.45,39422.9,39400.0,,,,,,
