,datetime,open,high,low,close,ATMStrPr,currWeek_exp_dt,nextWeek_exp_dt,farWeek_exp_dt,currMonth_exp_dt,nextMonth_exp_dt,farMonth_exp_dt,index_x,CEdate,CEtime,CEopen,CEhigh,CElow,CEclose,CEentryPrice,CEstoploss,CEtarget,CE_SLhit,CE_Tgthit,CEhitstatus,CEexitPrice,CE_MTM,CE_highMTM,CE_maxMTM,CE_lowMTM,CE_minMTM,CE_PnL,index_y,PEopen,PEhigh,PElow,PEclose,PEentryPrice,PEstoploss,PEtarget,PE_SLhit,PE_Tgthit,PEhitstatus,PEexitPrice,PE_MTM,PE_highMTM,PE_maxMTM,PE_lowMTM,PE_minMTM,PE_PnL,CBopen,CBhigh,CBlow,CBclose
0,2020-09-01 09:15:00,23792.5,23953.4,23572.5,23691.3,23700.0,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26,2020-09-01 09:15:00,2020-09-01,09:15,306.35,400.0,218.8,237.5,,,,0,0,,,,,,,,,2020-09-01 09:15:00,494.0,626.95,403.45,553.95,,,,0,0,,,,,,,,,800.35,845.75,803.45,791.45
1,2020-09-01 09:16:00,23703.25,23737.05,23652.35,23721.25,23700.0,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26,2020-09-01 09:16:00,2020-09-01,09:16,240.0,287.55,240.0,275.75,,,,0,0,,,,,,,,,2020-09-01 09:16:00,544.95,596.85,527.55,550.1,,,,0,0,,,,,,,,,784.95,836.85,815.0999999999999,825.85
2,2020-09-01 09:17:00,23732.1,23769.95,23678.6,23678.6,23700.0,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26,2020-09-01 09:17:00,2020-09-01,09:17,280.55,310.75,280.55,285.75,,,,0,0,,,,,,,,,2020-09-01 09:17:00,546.5,585.5,526.45,580.0,,,,0,0,,,,,,,,,827.05,866.05,837.2,865.75
3,2020-09-01 09:18:00,23674.6,23687.25,23635.25,23666.9,23700.0,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26,2020-09-01 09:18:00,2020-09-01,09:18,283.5,293.0,272.65,286.05,,,,0,0,,,,,,,,,2020-09-01 09:18:00,584.95,623.95,584.95,600.0,,,,0,0,,,,,,,,,868.45,896.6,877.95,886.05
4,2020-09-01 09:19:00,23660.5,23851.4,23655.4,23851.4,23900.0,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26,2020-09-01 09:19:00,2020-09-01,09:19,285.25,328.7,280.0,322.5,,,,0,0,,,,,,,,,2020-09-01 09:19:00,600.1,614.9,470.35,470.35,,,,0,0,,,,,,,,,885.35,894.9,799.05,792.85
5,2020-09-01 09:20:00,23881.2,24010.1,23881.2,23962.85,24000.0,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26,2020-09-01 09:20:00,2020-09-01,09:20,332.0,394.3,332.0,375.05,,,,0,0,,,,,,,,,2020-09-01 09:20:00,447.4,448.2,382.65,421.25,,,,0,0,,,,,,,,,779.4,780.2,776.95,796.3
6,2020-09-01 09:21:00,23971.25,23978.25,23941.35,23968.45,24000.0,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26,2020-09-01 09:21:00,2020-09-01,09:21,380.9,384.55,358.85,373.65,375.05,450.06,75.00999999999999,0,0,,,1.400000000000034,16.19999999999999,16.19999999999999,-9.5,-9.5,,2020-09-01 09:21:00,421.15,428.95,405.3,417.0,421.25,505.5,84.24999999999999,0,0,,,4.25,15.949999999999989,15.949999999999989,-7.699999999999989,-7.699999999999989,,802.05,789.85,787.8,790.65
7,2020-09-01 09:22:00,23961.15,23968.45,23921.15,23944.25,23900.0,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26,2020-09-01 09:22:00,2020-09-01,09:22,375.0,380.6,358.65,369.1,375.05,450.06,75.00999999999999,0,0,,,5.949999999999989,16.400000000000034,16.400000000000034,-5.550000000000011,-9.5,,2020-09-01 09:22:00,417.55,445.05,416.65,437.25,421.25,505.5,84.24999999999999,0,0,,,-16.0,4.600000000000023,15.949999999999989,-23.80000000000001,-23.80000000000001,,792.55,803.7,797.25,806.35
8,2020-09-01 09:23:00,23933.6,23967.4,23898.4,23913.7,23900.0,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26,2020-09-01 09:23:00,2020-09-01,09:23,368.35,379.7,354.3,359.9,375.05,450.06,75.00999999999999,0,0,,,15.150000000000034,20.75,20.75,-4.649999999999977,-9.5,,2020-09-01 09:23:00,439.75,458.05,417.6,449.85,421.25,505.5,84.24999999999999,0,0,,,-28.600000000000023,3.6499999999999773,15.949999999999989,-36.80000000000001,-36.80000000000001,,808.1,812.35,797.3,809.75
9,2020-09-01 09:24:00,23917.25,23960.3,23912.3,23931.0,23900.0,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26,2020-09-01 09:24:00,2020-09-01,09:24,363.35,377.8,350.1,363.0,375.05,450.06,75.00999999999999,0,0,,,12.050000000000011,24.94999999999999,24.94999999999999,-2.75,-9.5,,2020-09-01 09:24:00,449.8,450.0,431.6,438.3,421.25,505.5,84.24999999999999,0,0,,,-17.05000000000001,-10.350000000000023,15.949999999999989,-28.75,-36.80000000000001,,813.1500000000001,809.4000000000001,800.1,801.3
10,2020-09-01 09:25:00,23930.75,24046.4,23930.75,24045.1,24000.0,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26,2020-09-01 09:25:00,2020-09-01,09:25,364.65,420.0,364.65,408.5,375.05,450.06,75.00999999999999,0,0,,,-33.44999999999999,10.400000000000034,24.94999999999999,-44.94999999999999,-44.94999999999999,,2020-09-01 09:25:00,438.05,438.05,359.05,369.95,421.25,505.5,84.24999999999999,0,0,,,51.30000000000001,62.19999999999999,62.19999999999999,-16.80000000000001,-36.80000000000001,,802.7,802.7,779.05,778.45
11,2020-09-01 09:26:00,24055.2,24091.0,24025.05,24083.0,24100.0,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26,2020-09-01 09:26:00,2020-09-01,09:26,414.65,434.7,402.1,424.7,375.05,450.06,75.00999999999999,0,0,,,-49.64999999999998,-27.05000000000001,24.94999999999999,-59.64999999999998,-59.64999999999998,,2020-09-01 09:26:00,366.0,382.45,357.0,362.35,421.25,505.5,84.24999999999999,0,0,,,58.89999999999998,64.25,64.25,38.80000000000001,-36.80000000000001,,780.65,791.7,784.55,787.05
12,2020-09-01 09:27:00,24086.25,24116.3,24071.35,24093.05,24100.0,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26,2020-09-01 09:27:00,2020-09-01,09:27,430.0,446.85,420.0,432.05,375.05,450.06,75.00999999999999,0,0,,,-57.0,-44.94999999999999,24.94999999999999,-71.80000000000001,-71.80000000000001,,2020-09-01 09:27:00,358.95,370.65,349.8,359.7,421.25,505.5,84.24999999999999,0,0,,,61.55000000000001,71.44999999999999,71.44999999999999,50.60000000000002,-36.80000000000001,,788.95,796.6500000000001,790.65,791.75
13,2020-09-01 09:28:00,24098.75,24110.65,24045.35,24099.2,24100.0,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26,2020-09-01 09:28:00,2020-09-01,09:28,434.1,447.05,407.3,436.75,375.05,450.06,75.00999999999999,0,0,,,-61.69999999999999,-32.25,24.94999999999999,-72.0,-72.0,,2020-09-01 09:28:00,358.5,377.6,354.15,363.05,421.25,505.5,84.24999999999999,0,0,,,58.19999999999999,67.10000000000002,71.44999999999999,43.64999999999998,-36.80000000000001,,792.6,801.2,784.9000000000001,799.8
14,2020-09-01 09:29:00,24102.25,24109.55,24074.0,24074.0,24100.0,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26,2020-09-01 09:29:00,2020-09-01,09:29,440.7,447.15,426.25,430.55,375.05,450.06,75.00999999999999,0,0,,,-55.5,-51.19999999999999,24.94999999999999,-72.09999999999997,-72.09999999999997,,2020-09-01 09:29:00,360.85,371.85,355.05,368.55,421.25,505.5,84.24999999999999,0,0,,,52.69999999999999,66.19999999999999,71.44999999999999,49.39999999999998,-36.80000000000001,,801.55,802.2,798.1,799.1
