datetime,open,high,low,close,ATMStrPr,currWeek_exp_dt,nextWeek_exp_dt,farWeek_exp_dt,currMonth_exp_dt,nextMonth_exp_dt,farMonth_exp_dt
2021-03-18 09:32:00,34631.5,34653.15,34585.3,34627.65,34600.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:33:00,34640.05,34654.55,34621.95,34631.4,34600.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:34:00,34631.95,34660.65,34629.0,34636.85,34600.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:35:00,34628.15,34631.35,34593.75,34625.2,34600.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:36:00,34623.85,34642.75,34616.9,34636.95,34600.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:37:00,34636.65,34651.6,34629.5,34631.6,34600.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:38:00,34632.45,34638.2,34620.5,34633.45,34600.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:39:00,34632.45,34664.55,34624.95,34664.5,34700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:40:00,34668.1,34684.9,34658.25,34664.35,34700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:41:00,34663.65,34672.35,34648.6,34651.9,34700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:42:00,34649.9,34656.95,34643.05,34655.05,34700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:43:00,34654.4,34685.25,34654.4,34682.25,34700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:44:00,34684.25,34715.55,34681.2,34715.1,34700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:45:00,34724.8,34731.8,34691.1,34697.1,34700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:46:00,34696.9,34739.6,34692.05,34735.25,34700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:47:00,34734.55,34737.7,34714.15,34727.45,34700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:48:00,34731.5,34738.25,34698.05,34698.05,34700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:49:00,34707.6,34749.3,34707.0,34745.15,34700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:50:00,34748.9,34755.0,34718.0,34723.25,34700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:51:00,34726.15,34741.8,34723.8,34735.75,34700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:52:00,34735.3,34752.8,34718.4,34750.2,34800.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:53:00,34753.55,34759.85,34719.65,34726.75,34700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:54:00,34731.85,34733.75,34708.6,34716.2,34700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 09:55:00,34714.75,34714.75,34687.35,34704.95,34700.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
