Date,Open,High,Low,Close,Adj Close,Volume,Symbol
2012-01-02,122.80000305175781,123.75,111.0,114.69999694824219,107.94949340820312,1572363,ADANIPORTS
2012-01-03,117.5,120.9000015258789,115.0,120.30000305175781,113.21991729736328,1385662,ADANIPORTS
2012-01-04,121.0,123.5,118.0,122.8499984741211,115.61983489990234,1259249,ADANIPORTS
2012-01-05,122.0,127.5999984741211,121.30000305175781,126.69999694824219,119.24324035644531,788405,ADANIPORTS
2012-01-06,126.25,128.75,124.30000305175781,127.69999694824219,120.18439483642578,1036623,ADANIPORTS
2012-01-09,128.6999969482422,133.39999389648438,126.0,132.1999969482422,124.41954803466797,848300,ADANIPORTS
2012-01-10,133.85000610351562,137.0,132.85000610351562,136.4499969482422,128.41943359375,869679,ADANIPORTS
2012-01-11,136.0,140.6999969482422,134.75,137.0500030517578,128.98411560058594,1810746,ADANIPORTS
2012-01-12,137.5,137.5,131.1999969482422,132.64999389648438,124.84304809570312,1748799,ADANIPORTS
2012-01-13,132.5,133.0,129.5500030517578,131.5500030517578,123.80780792236328,1099713,ADANIPORTS
2012-01-16,131.5500030517578,131.5500030517578,131.5500030517578,131.5500030517578,123.80780792236328,0,ADANIPORTS
2012-01-17,137.10000610351562,141.0,135.0,140.0,131.760498046875,1636196,ADANIPORTS
2012-01-18,142.0,143.8000030517578,138.6999969482422,141.6999969482422,133.3604278564453,890591,ADANIPORTS
2012-01-19,144.0,150.5500030517578,143.14999389648438,149.39999389648438,140.60726928710938,1456077,ADANIPORTS
2012-01-20,151.89999389648438,157.60000610351562,150.25,155.39999389648438,146.25411987304688,1634070,ADANIPORTS
2012-01-23,155.39999389648438,155.39999389648438,145.10000610351562,146.75,138.1132354736328,1657609,ADANIPORTS
2012-01-24,147.0500030517578,152.89999389648438,145.60000610351562,150.0500030517578,141.21902465820312,1337362,ADANIPORTS
2012-01-25,150.9499969482422,150.9499969482422,142.25,143.1999969482422,134.77215576171875,1859617,ADANIPORTS
2012-01-27,145.8000030517578,149.64999389648438,144.8000030517578,147.10000610351562,138.44265747070312,1264483,ADANIPORTS
2012-01-30,147.10000610351562,147.39999389648438,137.35000610351562,138.39999389648438,130.25465393066406,757694,ADANIPORTS
2012-01-31,138.9499969482422,148.5,137.0,146.25,137.6426544189453,1291344,ADANIPORTS
2012-02-01,146.5500030517578,147.75,142.14999389648438,143.89999389648438,135.4309539794922,899183,ADANIPORTS
2012-02-02,144.5,151.8000030517578,144.5,151.0,142.11309814453125,2355597,ADANIPORTS
2012-02-03,151.0,152.6999969482422,148.25,150.25,141.40724182128906,814359,ADANIPORTS
2012-02-06,152.85000610351562,152.85000610351562,146.3000030517578,148.10000610351562,139.38377380371094,1518103,ADANIPORTS
